2.500000000000000000e+02 5.535999999999999887e-42 1.134000000000000002e-42
3.500000000000000000e+02 9.810999999999999208e-42 1.556999999999999689e-42
4.500000000000000000e+02 1.501000000000000028e-41 1.780999999999999930e-42
5.500000000000000000e+02 1.883999999999999847e-41 1.844999999999999999e-42
6.500000000000000000e+02 1.846999999999999845e-41 1.768999999999999957e-42
7.500000000000000000e+02 1.628999999999999910e-41 1.823000000000000154e-42
8.500000000000000000e+02 1.202999999999999847e-41 1.873000000000000148e-42
9.500000000000000000e+02 7.237999999999999463e-42 1.463999999999999898e-42
1.050000000000000000e+03 3.597999999999999779e-42 9.637999999999998534e-43
1.150000000000000000e+03 1.561999999999999784e-42 6.015999999999999765e-43
1.250000000000000000e+03 6.690000000000000110e-43 3.395999999999999940e-43
1.350000000000000000e+03 2.686999999999999807e-43 1.841000000000000114e-43
1.450000000000000000e+03 1.526999999999999906e-44 1.701000000000000163e-43
1.550000000000000000e+03 1.950000000000000002e-43 2.305999999999999866e-43
