2.000000000000000000e+02 2.000000000000000000e+02 9.718689999999999746e-40 2.868328781712444945e-40
4.500000000000000000e+02 4.999999999999998579e+01 3.619719999999999858e-39 7.153657106683265137e-40
5.500000000000000000e+02 4.999999999999998579e+01 6.182929999999999870e-39 1.053897433339696509e-39
6.499999999999998863e+02 4.999999999999998579e+01 8.149480000000000043e-39 1.200037124425740400e-39
7.500000000000000000e+02 5.000000000000004263e+01 5.194599999999999828e-39 1.391823803503877424e-39
9.000000000000000000e+02 9.999999999999997158e+01 5.542420000000000179e-39 7.615092251575157252e-40
1.125000000000000000e+03 1.250000000000000000e+02 3.901229999999999614e-39 7.304213852291017993e-40
1.375000000000000000e+03 1.250000000000000000e+02 2.589029999999999849e-39 7.303825709859182490e-40
1.750000000000000000e+03 2.500000000000000000e+02 3.109580000000000211e-39 4.182839944344034108e-40
2.500000000000000000e+03 5.000000000000000000e+02 1.156179999999999915e-39 2.315005615543944702e-40
1.650000000000000000e+04 1.350000000000000000e+04 3.933589999999999875e-41 1.214888883807897729e-41
