             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1277796E-05   0.3421225E-05   0.1670907E-05
  0.1500000E+01   0.1407253E-05   0.3754327E-05   0.1861796E-05
  0.2500000E+01   0.1549817E-05   0.4111834E-05   0.2070484E-05
  0.3500000E+01   0.1706584E-05   0.4495048E-05   0.2298285E-05
  0.4500000E+01   0.1878732E-05   0.4905328E-05   0.2546588E-05
  0.5500000E+01   0.2067515E-05   0.5344089E-05   0.2816860E-05
  0.6500000E+01   0.2274272E-05   0.5812813E-05   0.3110646E-05
  0.7500000E+01   0.2500428E-05   0.6313035E-05   0.3429573E-05
  0.8500000E+01   0.2747505E-05   0.6846375E-05   0.3775362E-05
  0.9500000E+01   0.3017111E-05   0.7414493E-05   0.4149808E-05
  0.1050000E+02   0.3310958E-05   0.8019137E-05   0.4554807E-05
  0.1150000E+02   0.3630867E-05   0.8662135E-05   0.4992354E-05
  0.1250000E+02   0.3978753E-05   0.9345362E-05   0.5464525E-05
  0.1350000E+02   0.4356660E-05   0.1007080E-04   0.5973513E-05
  0.1450000E+02   0.4766729E-05   0.1084048E-04   0.6521598E-05
  0.1550000E+02   0.5211235E-05   0.1165653E-04   0.7111173E-05
  0.1650000E+02   0.5692572E-05   0.1252116E-04   0.7744737E-05
  0.1750000E+02   0.6213261E-05   0.1343666E-04   0.8424897E-05
  0.1850000E+02   0.6775952E-05   0.1440539E-04   0.9154364E-05
  0.1950000E+02   0.7383433E-05   0.1542980E-04   0.9935969E-05
  0.2050000E+02   0.8038633E-05   0.1651246E-04   0.1077266E-04
  0.2150000E+02   0.8744615E-05   0.1765596E-04   0.1166749E-04
  0.2250000E+02   0.9504591E-05   0.1886304E-04   0.1262363E-04
  0.2350000E+02   0.1032192E-04   0.2013650E-04   0.1364437E-04
  0.2450000E+02   0.1120010E-04   0.2147922E-04   0.1473313E-04
  0.2550000E+02   0.1214280E-04   0.2289419E-04   0.1589341E-04
  0.2650000E+02   0.1315383E-04   0.2438446E-04   0.1712888E-04
  0.2750000E+02   0.1423714E-04   0.2595320E-04   0.1844329E-04
  0.2850000E+02   0.1539686E-04   0.2760364E-04   0.1984050E-04
  0.2950000E+02   0.1663725E-04   0.2933909E-04   0.2132451E-04
  0.3050000E+02   0.1796274E-04   0.3116298E-04   0.2289942E-04
  0.3150000E+02   0.1937790E-04   0.3307878E-04   0.2456944E-04
  0.3250000E+02   0.2088745E-04   0.3509005E-04   0.2633889E-04
  0.3350000E+02   0.2249628E-04   0.3720046E-04   0.2821219E-04
  0.3450000E+02   0.2420940E-04   0.3941371E-04   0.3019386E-04
  0.3550000E+02   0.2603198E-04   0.4173360E-04   0.3228854E-04
  0.3650000E+02   0.2796929E-04   0.4416397E-04   0.3450089E-04
  0.3750000E+02   0.3002678E-04   0.4670877E-04   0.3683577E-04
  0.3850000E+02   0.3221001E-04   0.4937196E-04   0.3929802E-04
  0.3950000E+02   0.3452466E-04   0.5215762E-04   0.4189264E-04
  0.4050000E+02   0.3697649E-04   0.5506979E-04   0.4462459E-04
  0.4150000E+02   0.3957139E-04   0.5811262E-04   0.4749897E-04
  0.4250000E+02   0.4231535E-04   0.6129028E-04   0.5052094E-04
  0.4350000E+02   0.4521446E-04   0.6460702E-04   0.5369567E-04
  0.4450000E+02   0.4827486E-04   0.6806705E-04   0.5702838E-04
  0.4550000E+02   0.5150273E-04   0.7167463E-04   0.6052431E-04
  0.4650000E+02   0.5490433E-04   0.7543400E-04   0.6418868E-04
  0.4750000E+02   0.5848598E-04   0.7934949E-04   0.6802682E-04
  0.4850000E+02   0.6225399E-04   0.8342537E-04   0.7204396E-04
  0.4950000E+02   0.6621468E-04   0.8766588E-04   0.7624533E-04
  0.5050000E+02   0.7037442E-04   0.9207532E-04   0.8063619E-04
  0.5150000E+02   0.7473944E-04   0.9665784E-04   0.8522165E-04
  0.5250000E+02   0.7931608E-04   0.1014177E-03   0.9000689E-04
  0.5350000E+02   0.8411052E-04   0.1063590E-03   0.9499694E-04
  0.5450000E+02   0.8912893E-04   0.1114858E-03   0.1001968E-03
  0.5550000E+02   0.9437736E-04   0.1168022E-03   0.1056113E-03
  0.5650000E+02   0.9986178E-04   0.1223122E-03   0.1112453E-03
  0.5750000E+02   0.1055880E-03   0.1280195E-03   0.1171035E-03
  0.5850000E+02   0.1115618E-03   0.1339279E-03   0.1231903E-03
  0.5950000E+02   0.1177886E-03   0.1400412E-03   0.1295101E-03
  0.6050000E+02   0.1242738E-03   0.1463628E-03   0.1360672E-03
  0.6150000E+02   0.1310226E-03   0.1528961E-03   0.1428657E-03
  0.6250000E+02   0.1380398E-03   0.1596446E-03   0.1499092E-03
  0.6350000E+02   0.1453303E-03   0.1666112E-03   0.1572016E-03
  0.6450000E+02   0.1528984E-03   0.1737989E-03   0.1647463E-03
  0.6550000E+02   0.1607484E-03   0.1812106E-03   0.1725463E-03
  0.6650000E+02   0.1688841E-03   0.1888490E-03   0.1806048E-03
  0.6750000E+02   0.1773091E-03   0.1967163E-03   0.1889244E-03
  0.6850000E+02   0.1860267E-03   0.2048148E-03   0.1975075E-03
  0.6950000E+02   0.1950398E-03   0.2131467E-03   0.2063563E-03
  0.7050000E+02   0.2043510E-03   0.2217135E-03   0.2154725E-03
  0.7150000E+02   0.2139624E-03   0.2305170E-03   0.2248579E-03
  0.7250000E+02   0.2238758E-03   0.2395584E-03   0.2345135E-03
  0.7350000E+02   0.2340927E-03   0.2488389E-03   0.2444403E-03
  0.7450000E+02   0.2446140E-03   0.2583592E-03   0.2546388E-03
  0.7550000E+02   0.2554401E-03   0.2681197E-03   0.2651090E-03
  0.7650000E+02   0.2665717E-03   0.2781213E-03   0.2758514E-03
  0.7750000E+02   0.2780078E-03   0.2883633E-03   0.2868649E-03
  0.7850000E+02   0.2897480E-03   0.2988457E-03   0.2981487E-03
  0.7950000E+02   0.3017909E-03   0.3097016E-03   0.3097016E-03
  0.8050000E+02   0.3141348E-03   0.3215220E-03   0.3215220E-03
  0.8150000E+02   0.3267777E-03   0.3336079E-03   0.3336079E-03
  0.8250000E+02   0.3397169E-03   0.3459570E-03   0.3459570E-03
  0.8350000E+02   0.3529487E-03   0.3585661E-03   0.3585661E-03
  0.8450000E+02   0.3664703E-03   0.3714324E-03   0.3714324E-03
  0.8550000E+02   0.3788659E-03   0.3845521E-03   0.3845521E-03
  0.8650000E+02   0.3912249E-03   0.3979214E-03   0.3979214E-03
