             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1017065E-06   0.7297921E-06   0.5156339E-06
  0.1500000E+01   0.1135686E-06   0.9401016E-06   0.5760815E-06
  0.2500000E+01   0.1281571E-06   0.1168481E-05   0.6421703E-06
  0.3500000E+01   0.1457784E-06   0.1409670E-05   0.7143147E-06
  0.4500000E+01   0.1667950E-06   0.1659048E-05   0.7929545E-06
  0.5500000E+01   0.1916196E-06   0.1912982E-05   0.8785562E-06
  0.6500000E+01   0.2207118E-06   0.2168961E-05   0.9716145E-06
  0.7500000E+01   0.2545756E-06   0.2425556E-05   0.1072653E-05
  0.8500000E+01   0.2937572E-06   0.2682294E-05   0.1182229E-05
  0.9500000E+01   0.3388431E-06   0.2939475E-05   0.1300928E-05
  0.1050000E+02   0.3904596E-06   0.3197988E-05   0.1429373E-05
  0.1150000E+02   0.4492722E-06   0.3459147E-05   0.1568224E-05
  0.1250000E+02   0.5159853E-06   0.3724542E-05   0.1718174E-05
  0.1350000E+02   0.5913436E-06   0.3995931E-05   0.1879961E-05
  0.1450000E+02   0.6761332E-06   0.4275158E-05   0.2054358E-05
  0.1550000E+02   0.7711834E-06   0.4564089E-05   0.2242185E-05
  0.1650000E+02   0.8773699E-06   0.4864576E-05   0.2444305E-05
  0.1750000E+02   0.9956178E-06   0.5178428E-05   0.2661627E-05
  0.1850000E+02   0.1126906E-05   0.5507396E-05   0.2895106E-05
  0.1950000E+02   0.1272269E-05   0.5853170E-05   0.3145749E-05
  0.2050000E+02   0.1432806E-05   0.6217371E-05   0.3414614E-05
  0.2150000E+02   0.1609683E-05   0.6601554E-05   0.3702809E-05
  0.2250000E+02   0.1804135E-05   0.7007214E-05   0.4011499E-05
  0.2350000E+02   0.2017479E-05   0.7435784E-05   0.4341903E-05
  0.2450000E+02   0.2251110E-05   0.7888648E-05   0.4695300E-05
  0.2550000E+02   0.2506512E-05   0.8367142E-05   0.5073024E-05
  0.2650000E+02   0.2785261E-05   0.8872558E-05   0.5476472E-05
  0.2750000E+02   0.3089030E-05   0.9406158E-05   0.5907102E-05
  0.2850000E+02   0.3419590E-05   0.9969170E-05   0.6366433E-05
  0.2950000E+02   0.3778819E-05   0.1056280E-04   0.6856048E-05
  0.3050000E+02   0.4168701E-05   0.1118825E-04   0.7377597E-05
  0.3150000E+02   0.4591331E-05   0.1184670E-04   0.7932791E-05
  0.3250000E+02   0.5048915E-05   0.1253933E-04   0.8523409E-05
  0.3350000E+02   0.5543775E-05   0.1326732E-04   0.9151298E-05
  0.3450000E+02   0.6078345E-05   0.1403189E-04   0.9818368E-05
  0.3550000E+02   0.6655176E-05   0.1483423E-04   0.1052660E-04
  0.3650000E+02   0.7276934E-05   0.1567561E-04   0.1127803E-04
  0.3750000E+02   0.7946398E-05   0.1655729E-04   0.1207478E-04
  0.3850000E+02   0.8666459E-05   0.1748058E-04   0.1291902E-04
  0.3950000E+02   0.9440115E-05   0.1844685E-04   0.1381300E-04
  0.4050000E+02   0.1027047E-04   0.1945751E-04   0.1475901E-04
  0.4150000E+02   0.1116074E-04   0.2051403E-04   0.1575942E-04
  0.4250000E+02   0.1211421E-04   0.2161792E-04   0.1681666E-04
  0.4350000E+02   0.1313429E-04   0.2277078E-04   0.1793322E-04
  0.4450000E+02   0.1422444E-04   0.2397427E-04   0.1911164E-04
  0.4550000E+02   0.1538823E-04   0.2523012E-04   0.2035451E-04
  0.4650000E+02   0.1662928E-04   0.2654014E-04   0.2166447E-04
  0.4750000E+02   0.1795127E-04   0.2790620E-04   0.2304423E-04
  0.4850000E+02   0.1935794E-04   0.2933026E-04   0.2449652E-04
  0.4950000E+02   0.2085305E-04   0.3081436E-04   0.2602411E-04
  0.5050000E+02   0.2244042E-04   0.3236061E-04   0.2762983E-04
  0.5150000E+02   0.2412387E-04   0.3397118E-04   0.2931650E-04
  0.5250000E+02   0.2590724E-04   0.3564834E-04   0.3108701E-04
  0.5350000E+02   0.2779436E-04   0.3739441E-04   0.3294424E-04
  0.5450000E+02   0.2978904E-04   0.3921179E-04   0.3489110E-04
  0.5550000E+02   0.3189507E-04   0.4110293E-04   0.3693050E-04
  0.5650000E+02   0.3411620E-04   0.4307035E-04   0.3906536E-04
  0.5750000E+02   0.3645613E-04   0.4511663E-04   0.4129860E-04
  0.5850000E+02   0.3891847E-04   0.4724438E-04   0.4363311E-04
  0.5950000E+02   0.4150679E-04   0.4945626E-04   0.4607178E-04
  0.6050000E+02   0.4422454E-04   0.5175497E-04   0.4861747E-04
  0.6150000E+02   0.4707508E-04   0.5414323E-04   0.5127300E-04
  0.6250000E+02   0.5006164E-04   0.5662380E-04   0.5404115E-04
  0.6350000E+02   0.5318734E-04   0.5919943E-04   0.5692466E-04
