             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1388844E-05   0.2444754E-04   0.8634660E-05
  0.1500000E+01   0.1418420E-05   0.2586466E-04   0.9199049E-05
  0.2500000E+01   0.1401072E-05   0.2726009E-04   0.9740010E-05
  0.3500000E+01   0.1317062E-05   0.2861194E-04   0.1023771E-04
  0.4500000E+01   0.1140988E-05   0.2989261E-04   0.1066658E-04
  0.5500000E+01   0.8405815E-06   0.3106763E-04   0.1099405E-04
  0.6500000E+01   0.3754389E-06   0.3209434E-04   0.1117934E-04
  0.7500000E+01  -0.3041797E-06   0.3292069E-04   0.1117223E-04
  0.8500000E+01  -0.1258268E-05   0.3348437E-04   0.1091213E-04
  0.9500000E+01  -0.2557342E-05   0.3371246E-04   0.1032782E-04
  0.1050000E+02  -0.4281535E-05   0.3352238E-04   0.9338358E-05
  0.1150000E+02  -0.6517815E-05   0.3282463E-04   0.7855841E-05
  0.1250000E+02  -0.9354519E-05   0.3152822E-04   0.5790872E-05
  0.1350000E+02  -0.1287247E-04   0.2954953E-04   0.3061420E-05
  0.1450000E+02  -0.1713234E-04   0.2682482E-04  -0.3945776E-06
  0.1550000E+02  -0.2215893E-04   0.2332589E-04  -0.4603529E-05
  0.1650000E+02  -0.2792440E-04   0.1907669E-04  -0.9539475E-05
  0.1750000E+02  -0.3433428E-04   0.1416728E-04  -0.1511013E-04
  0.1850000E+02  -0.4122102E-04   0.8760032E-05  -0.2115052E-04
  0.1950000E+02  -0.4834967E-04   0.3084080E-05  -0.2742866E-04
  0.2050000E+02  -0.5543720E-04  -0.2584044E-05  -0.3366485E-04
  0.2150000E+02  -0.6218291E-04  -0.7950667E-05  -0.3956208E-04
  0.2250000E+02  -0.6830309E-04  -0.1273943E-04  -0.4484057E-04
  0.2350000E+02  -0.7356136E-04  -0.1672145E-04  -0.4926805E-04
  0.2450000E+02  -0.7778791E-04  -0.1973437E-04  -0.5267893E-04
  0.2550000E+02  -0.8088498E-04  -0.2168779E-04  -0.5497970E-04
  0.2650000E+02  -0.8282036E-04  -0.2255672E-04  -0.5614246E-04
  0.2750000E+02  -0.8361333E-04  -0.2236756E-04  -0.5619079E-04
  0.2850000E+02  -0.8331784E-04  -0.2118134E-04  -0.5518305E-04
  0.2950000E+02  -0.8200685E-04  -0.1907810E-04  -0.5319660E-04
  0.3050000E+02  -0.7975969E-04  -0.1614437E-04  -0.5031532E-04
  0.3150000E+02  -0.7665328E-04  -0.1246436E-04  -0.4662073E-04
  0.3250000E+02  -0.7275671E-04  -0.8114585E-05  -0.4218664E-04
  0.3350000E+02  -0.6812853E-04  -0.3161191E-05  -0.3707643E-04
  0.3450000E+02  -0.6281595E-04   0.2340939E-05  -0.3134219E-04
