             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.9155348E-06   0.4700070E-05   0.2019805E-05
  0.1500000E+01   0.1062742E-05   0.5183140E-05   0.2289204E-05
  0.2500000E+01   0.1229044E-05   0.5702031E-05   0.2586424E-05
  0.3500000E+01   0.1416315E-05   0.6258485E-05   0.2913514E-05
  0.4500000E+01   0.1626557E-05   0.6854305E-05   0.3272614E-05
  0.5500000E+01   0.1861896E-05   0.7491364E-05   0.3665964E-05
  0.6500000E+01   0.2124592E-05   0.8171604E-05   0.4095901E-05
  0.7500000E+01   0.2417037E-05   0.8897034E-05   0.4564859E-05
  0.8500000E+01   0.2741771E-05   0.9669762E-05   0.5075390E-05
  0.9500000E+01   0.3101462E-05   0.1049194E-04   0.5630130E-05
  0.1050000E+02   0.3498934E-05   0.1136583E-04   0.6231841E-05
  0.1150000E+02   0.3937165E-05   0.1229379E-04   0.6883400E-05
  0.1250000E+02   0.4419272E-05   0.1327823E-04   0.7587776E-05
  0.1350000E+02   0.4948542E-05   0.1432169E-04   0.8348083E-05
  0.1450000E+02   0.5528409E-05   0.1542678E-04   0.9167526E-05
  0.1550000E+02   0.6162478E-05   0.1659623E-04   0.1004945E-04
  0.1650000E+02   0.6854512E-05   0.1783285E-04   0.1099732E-04
  0.1750000E+02   0.7608446E-05   0.1913957E-04   0.1201472E-04
  0.1850000E+02   0.8428372E-05   0.2051939E-04   0.1310536E-04
  0.1950000E+02   0.9318564E-05   0.2197546E-04   0.1427307E-04
  0.2050000E+02   0.1028346E-04   0.2351102E-04   0.1552185E-04
  0.2150000E+02   0.1132768E-04   0.2512941E-04   0.1685577E-04
  0.2250000E+02   0.1245599E-04   0.2683408E-04   0.1827907E-04
  0.2350000E+02   0.1367336E-04   0.2862859E-04   0.1979610E-04
  0.2450000E+02   0.1498491E-04   0.3051663E-04   0.2141136E-04
  0.2550000E+02   0.1639594E-04   0.3250197E-04   0.2312946E-04
  0.2650000E+02   0.1791192E-04   0.3458851E-04   0.2495515E-04
  0.2750000E+02   0.1953849E-04   0.3678025E-04   0.2689331E-04
  0.2850000E+02   0.2128143E-04   0.3908131E-04   0.2894893E-04
  0.2950000E+02   0.2314671E-04   0.4149590E-04   0.3112714E-04
  0.3050000E+02   0.2514046E-04   0.4402834E-04   0.3343318E-04
  0.3150000E+02   0.2726893E-04   0.4668307E-04   0.3587241E-04
  0.3250000E+02   0.2953855E-04   0.4946460E-04   0.3845029E-04
  0.3350000E+02   0.3195588E-04   0.5237757E-04   0.4117243E-04
  0.3450000E+02   0.3452761E-04   0.5542669E-04   0.4404449E-04
  0.3550000E+02   0.3726057E-04   0.5861677E-04   0.4707228E-04
  0.3650000E+02   0.4016167E-04   0.6195268E-04   0.5026162E-04
  0.3750000E+02   0.4323800E-04   0.6543944E-04   0.5361854E-04
  0.3850000E+02   0.4649669E-04   0.6908208E-04   0.5714903E-04
  0.3950000E+02   0.4994503E-04   0.7288577E-04   0.6085926E-04
  0.4050000E+02   0.5359027E-04   0.7685562E-04   0.6475533E-04
  0.4150000E+02   0.5743983E-04   0.8099689E-04   0.6884348E-04
  0.4250000E+02   0.6150116E-04   0.8531490E-04   0.7313000E-04
  0.4350000E+02   0.6578175E-04   0.8981502E-04   0.7762119E-04
  0.4450000E+02   0.7028913E-04   0.9450261E-04   0.8232338E-04
  0.4550000E+02   0.7503079E-04   0.9938306E-04   0.8724289E-04
  0.4650000E+02   0.8001424E-04   0.1044618E-03   0.9238600E-04
  0.4750000E+02   0.8524703E-04   0.1097442E-03   0.9775913E-04
  0.4850000E+02   0.9073662E-04   0.1152358E-03   0.1033685E-03
  0.4950000E+02   0.9649038E-04   0.1209420E-03   0.1092204E-03
  0.5050000E+02   0.1025157E-03   0.1268682E-03   0.1153210E-03
  0.5150000E+02   0.1088198E-03   0.1330197E-03   0.1216765E-03
  0.5250000E+02   0.1154099E-03   0.1394019E-03   0.1282928E-03
  0.5350000E+02   0.1222929E-03   0.1460200E-03   0.1351760E-03
  0.5450000E+02   0.1294758E-03   0.1528793E-03   0.1423319E-03
  0.5550000E+02   0.1369651E-03   0.1599849E-03   0.1497662E-03
  0.5650000E+02   0.1447676E-03   0.1673417E-03   0.1574843E-03
  0.5750000E+02   0.1528894E-03   0.1749548E-03   0.1654919E-03
  0.5850000E+02   0.1613366E-03   0.1828290E-03   0.1737940E-03
  0.5950000E+02   0.1701151E-03   0.1909688E-03   0.1823958E-03
  0.6050000E+02   0.1792304E-03   0.1993789E-03   0.1913019E-03
  0.6150000E+02   0.1886879E-03   0.2080636E-03   0.2005171E-03
  0.6250000E+02   0.1984924E-03   0.2170270E-03   0.2100456E-03
  0.6350000E+02   0.2086487E-03   0.2262734E-03   0.2198915E-03
  0.6450000E+02   0.2191610E-03   0.2358063E-03   0.2300587E-03
  0.6550000E+02   0.2300333E-03   0.2456295E-03   0.2405507E-03
  0.6650000E+02   0.2412691E-03   0.2557463E-03   0.2513708E-03
  0.6750000E+02   0.2528715E-03   0.2661597E-03   0.2625217E-03
  0.6850000E+02   0.2648433E-03   0.2768728E-03   0.2740061E-03
  0.6950000E+02   0.2771867E-03   0.2878881E-03   0.2858261E-03
  0.7050000E+02   0.2899036E-03   0.2992079E-03   0.2979836E-03
  0.7150000E+02   0.3029955E-03   0.3108343E-03   0.3104802E-03
  0.7250000E+02   0.3164630E-03   0.3233167E-03   0.3233167E-03
  0.7350000E+02   0.3303068E-03   0.3364940E-03   0.3364940E-03
  0.7450000E+02   0.3445265E-03   0.3500123E-03   0.3500123E-03
  0.7550000E+02   0.3591216E-03   0.3638712E-03   0.3638712E-03
  0.7650000E+02   0.3736139E-03   0.3780708E-03   0.3780708E-03
  0.7750000E+02   0.3871045E-03   0.3926093E-03   0.3926093E-03
  0.7850000E+02   0.4009067E-03   0.4074854E-03   0.4074854E-03
  0.7950000E+02   0.4150198E-03   0.4226973E-03   0.4226973E-03
  0.8050000E+02   0.4294426E-03   0.4382424E-03   0.4382424E-03
  0.8150000E+02   0.4441740E-03   0.4544746E-03   0.4541182E-03
  0.8250000E+02   0.4592119E-03   0.4716354E-03   0.4703212E-03
  0.8350000E+02   0.4745536E-03   0.4891467E-03   0.4868469E-03
  0.8450000E+02   0.4901972E-03   0.5070037E-03   0.5036921E-03
  0.8550000E+02   0.5061390E-03   0.5251999E-03   0.5208513E-03
  0.8650000E+02   0.5223759E-03   0.5437290E-03   0.5383197E-03
  0.8750000E+02   0.5389035E-03   0.5625832E-03   0.5560911E-03
  0.8850000E+02   0.5557177E-03   0.5817550E-03   0.5741595E-03
  0.8950000E+02   0.5728139E-03   0.6012363E-03   0.5925184E-03
  0.9050000E+02   0.5901868E-03   0.6210183E-03   0.6111606E-03
  0.9150000E+02   0.6078308E-03   0.6410916E-03   0.6300785E-03
  0.9250000E+02   0.6257400E-03   0.6614464E-03   0.6492642E-03
  0.9350000E+02   0.6439077E-03   0.6820721E-03   0.6687090E-03
  0.9450000E+02   0.6623271E-03   0.7029580E-03   0.6884038E-03
  0.9550000E+02   0.6809913E-03   0.7240932E-03   0.7083398E-03
  0.9650000E+02   0.6998927E-03   0.7454660E-03   0.7285072E-03
  0.9750000E+02   0.7190231E-03   0.7670640E-03   0.7488958E-03
  0.9850000E+02   0.7383743E-03   0.7888749E-03   0.7694951E-03
  0.9950000E+02   0.7579374E-03   0.8108857E-03   0.7902941E-03
  0.1005000E+03   0.7777034E-03   0.8330830E-03   0.8112817E-03
  0.1015000E+03   0.7976629E-03   0.8554534E-03   0.8324463E-03
  0.1025000E+03   0.8178063E-03   0.8779831E-03   0.8537763E-03
  0.1035000E+03   0.8381231E-03   0.9006574E-03   0.8752590E-03
  0.1045000E+03   0.8586036E-03   0.9234625E-03   0.8968827E-03
  0.1055000E+03   0.8792365E-03   0.9463831E-03   0.9186341E-03
  0.1065000E+03   0.9000111E-03   0.9694042E-03   0.9405004E-03
  0.1075000E+03   0.9209161E-03   0.9925109E-03   0.9624684E-03
  0.1085000E+03   0.9419403E-03   0.1015688E-02   0.9845250E-03
  0.1095000E+03   0.9630716E-03   0.1038919E-02   0.1006656E-02
  0.1105000E+03   0.9842982E-03   0.1062190E-02   0.1028848E-02
  0.1115000E+03   0.1005608E-02   0.1085484E-02   0.1051088E-02
  0.1125000E+03   0.1026990E-02   0.1108785E-02   0.1073361E-02
  0.1135000E+03   0.1048429E-02   0.1132079E-02   0.1095653E-02
  0.1145000E+03   0.1069915E-02   0.1155347E-02   0.1117950E-02
  0.1155000E+03   0.1091434E-02   0.1178576E-02   0.1140238E-02
  0.1165000E+03   0.1112974E-02   0.1201749E-02   0.1162502E-02
  0.1175000E+03   0.1134521E-02   0.1224851E-02   0.1184729E-02
  0.1185000E+03   0.1156062E-02   0.1247865E-02   0.1206904E-02
  0.1195000E+03   0.1177586E-02   0.1270776E-02   0.1229013E-02
  0.1205000E+03   0.1199078E-02   0.1293569E-02   0.1251042E-02
  0.1215000E+03   0.1220525E-02   0.1316229E-02   0.1272977E-02
  0.1225000E+03   0.1241916E-02   0.1338740E-02   0.1294804E-02
  0.1235000E+03   0.1263235E-02   0.1361087E-02   0.1316509E-02
  0.1245000E+03   0.1284471E-02   0.1383256E-02   0.1338078E-02
  0.1255000E+03   0.1305611E-02   0.1405232E-02   0.1359497E-02
  0.1265000E+03   0.1326642E-02   0.1427002E-02   0.1380755E-02
  0.1275000E+03   0.1347550E-02   0.1448550E-02   0.1401837E-02
  0.1285000E+03   0.1368325E-02   0.1469864E-02   0.1422730E-02
  0.1295000E+03   0.1388952E-02   0.1490931E-02   0.1443422E-02
  0.1305000E+03   0.1409421E-02   0.1511736E-02   0.1463900E-02
  0.1315000E+03   0.1429718E-02   0.1532269E-02   0.1484152E-02
  0.1325000E+03   0.1449832E-02   0.1552516E-02   0.1504166E-02
  0.1335000E+03   0.1469751E-02   0.1572465E-02   0.1523930E-02
  0.1345000E+03   0.1489463E-02   0.1592106E-02   0.1543434E-02
  0.1355000E+03   0.1508958E-02   0.1611426E-02   0.1562666E-02
  0.1365000E+03   0.1528224E-02   0.1630416E-02   0.1581616E-02
  0.1375000E+03   0.1547251E-02   0.1649065E-02   0.1600272E-02
  0.1385000E+03   0.1566028E-02   0.1667364E-02   0.1618626E-02
  0.1395000E+03   0.1584544E-02   0.1685302E-02   0.1636667E-02
  0.1405000E+03   0.1602790E-02   0.1702871E-02   0.1654386E-02
  0.1415000E+03   0.1620756E-02   0.1720063E-02   0.1671775E-02
  0.1425000E+03   0.1638433E-02   0.1736869E-02   0.1688825E-02
  0.1435000E+03   0.1655812E-02   0.1753281E-02   0.1705527E-02
  0.1445000E+03   0.1672884E-02   0.1769294E-02   0.1721875E-02
  0.1455000E+03   0.1689641E-02   0.1784899E-02   0.1737860E-02
  0.1465000E+03   0.1706074E-02   0.1800091E-02   0.1753475E-02
  0.1475000E+03   0.1722177E-02   0.1814864E-02   0.1768715E-02
  0.1485000E+03   0.1737942E-02   0.1829214E-02   0.1783574E-02
  0.1495000E+03   0.1753361E-02   0.1843133E-02   0.1798045E-02
  0.1505000E+03   0.1768429E-02   0.1856620E-02   0.1812123E-02
  0.1515000E+03   0.1783139E-02   0.1869670E-02   0.1825803E-02
  0.1525000E+03   0.1797486E-02   0.1882278E-02   0.1839081E-02
  0.1535000E+03   0.1811463E-02   0.1894443E-02   0.1851953E-02
  0.1545000E+03   0.1825066E-02   0.1906162E-02   0.1864415E-02
  0.1555000E+03   0.1838290E-02   0.1917432E-02   0.1876463E-02
  0.1565000E+03   0.1851130E-02   0.1928252E-02   0.1888096E-02
  0.1575000E+03   0.1863583E-02   0.1938620E-02   0.1899310E-02
  0.1585000E+03   0.1875646E-02   0.1948536E-02   0.1910104E-02
  0.1595000E+03   0.1887314E-02   0.1958000E-02   0.1920475E-02
  0.1605000E+03   0.1898584E-02   0.1967010E-02   0.1930422E-02
  0.1615000E+03   0.1909456E-02   0.1975569E-02   0.1939945E-02
  0.1625000E+03   0.1919925E-02   0.1983675E-02   0.1949043E-02
  0.1635000E+03   0.1929991E-02   0.1991331E-02   0.1957716E-02
  0.1645000E+03   0.1939651E-02   0.1998538E-02   0.1965963E-02
  0.1655000E+03   0.1948905E-02   0.2005297E-02   0.1973785E-02
  0.1665000E+03   0.1957753E-02   0.2011611E-02   0.1981184E-02
  0.1675000E+03   0.1966192E-02   0.2017482E-02   0.1988159E-02
  0.1685000E+03   0.1974225E-02   0.2022913E-02   0.1994713E-02
  0.1695000E+03   0.1981849E-02   0.2027907E-02   0.2000847E-02
  0.1705000E+03   0.1989067E-02   0.2032467E-02   0.2006564E-02
  0.1715000E+03   0.1995879E-02   0.2036598E-02   0.2011865E-02
  0.1725000E+03   0.2002285E-02   0.2040302E-02   0.2016754E-02
