             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.2890727E-06   0.3912693E-05   0.2117672E-05
  0.1500000E+01   0.3820550E-06   0.4446869E-05   0.2390576E-05
  0.2500000E+01   0.4933034E-06   0.5030638E-05   0.2693570E-05
  0.3500000E+01   0.6242730E-06   0.5667123E-05   0.3029405E-05
  0.4500000E+01   0.7764644E-06   0.6359635E-05   0.3401036E-05
  0.5500000E+01   0.9514896E-06   0.7111673E-05   0.3811623E-05
  0.6500000E+01   0.1151134E-05   0.7926931E-05   0.4264550E-05
  0.7500000E+01   0.1377413E-05   0.8809296E-05   0.4763428E-05
  0.8500000E+01   0.1632622E-05   0.9762852E-05   0.5312111E-05
  0.9500000E+01   0.1919378E-05   0.1079188E-04   0.5914703E-05
  0.1050000E+02   0.2240655E-05   0.1190085E-04   0.6575572E-05
  0.1150000E+02   0.2599819E-05   0.1309445E-04   0.7299360E-05
  0.1250000E+02   0.3000651E-05   0.1437755E-04   0.8090994E-05
  0.1350000E+02   0.3447377E-05   0.1575524E-04   0.8955697E-05
  0.1450000E+02   0.3944687E-05   0.1723280E-04   0.9898998E-05
  0.1550000E+02   0.4497760E-05   0.1881571E-04   0.1092674E-04
  0.1650000E+02   0.5112284E-05   0.2050969E-04   0.1204511E-04
  0.1750000E+02   0.5794475E-05   0.2232063E-04   0.1326062E-04
  0.1850000E+02   0.6551100E-05   0.2425468E-04   0.1458013E-04
  0.1950000E+02   0.7389493E-05   0.2631817E-04   0.1601087E-04
  0.2050000E+02   0.8317576E-05   0.2851767E-04   0.1756042E-04
  0.2150000E+02   0.9343872E-05   0.3085999E-04   0.1923677E-04
  0.2250000E+02   0.1047752E-04   0.3335213E-04   0.2104826E-04
  0.2350000E+02   0.1172831E-04   0.3600138E-04   0.2300365E-04
  0.2450000E+02   0.1310664E-04   0.3881522E-04   0.2511209E-04
  0.2550000E+02   0.1462360E-04   0.4180142E-04   0.2738313E-04
  0.2650000E+02   0.1629093E-04   0.4496797E-04   0.2982676E-04
  0.2750000E+02   0.1812104E-04   0.4832313E-04   0.3245336E-04
  0.2850000E+02   0.2012700E-04   0.5187541E-04   0.3527374E-04
  0.2950000E+02   0.2232257E-04   0.5563359E-04   0.3829914E-04
  0.3050000E+02   0.2472217E-04   0.5960672E-04   0.4154122E-04
  0.3150000E+02   0.2734089E-04   0.6380413E-04   0.4501205E-04
  0.3250000E+02   0.3019448E-04   0.6823539E-04   0.4872415E-04
  0.3350000E+02   0.3329932E-04   0.7291039E-04   0.5269045E-04
  0.3450000E+02   0.3667245E-04   0.7783928E-04   0.5692429E-04
  0.3550000E+02   0.4033151E-04   0.8303248E-04   0.6143942E-04
  0.3650000E+02   0.4429474E-04   0.8850071E-04   0.6625000E-04
  0.3750000E+02   0.4858097E-04   0.9425495E-04   0.7137058E-04
  0.3850000E+02   0.5320955E-04   0.1003065E-03   0.7681609E-04
  0.3950000E+02   0.5820040E-04   0.1066668E-03   0.8260181E-04
  0.4050000E+02   0.6357390E-04   0.1133478E-03   0.8874342E-04
  0.4150000E+02   0.6935091E-04   0.1203615E-03   0.9525689E-04
  0.4250000E+02   0.7555271E-04   0.1277203E-03   0.1021585E-03
  0.4350000E+02   0.8220097E-04   0.1354367E-03   0.1094649E-03
  0.4450000E+02   0.8931772E-04   0.1435236E-03   0.1171930E-03
  0.4550000E+02   0.9692529E-04   0.1519940E-03   0.1253598E-03
  0.4650000E+02   0.1050463E-03   0.1608612E-03   0.1339827E-03
  0.4750000E+02   0.1137035E-03   0.1701387E-03   0.1430793E-03
  0.4850000E+02   0.1229198E-03   0.1798402E-03   0.1526671E-03
  0.4950000E+02   0.1327185E-03   0.1899794E-03   0.1627641E-03
  0.5050000E+02   0.1431225E-03   0.2005704E-03   0.1733881E-03
  0.5150000E+02   0.1541550E-03   0.2116274E-03   0.1845571E-03
  0.5250000E+02   0.1658390E-03   0.2231644E-03   0.1962890E-03
  0.5350000E+02   0.1781975E-03   0.2351960E-03   0.2086018E-03
  0.5450000E+02   0.1912532E-03   0.2477363E-03   0.2215132E-03
  0.5550000E+02   0.2050285E-03   0.2607999E-03   0.2350412E-03
  0.5650000E+02   0.2195456E-03   0.2744012E-03   0.2492031E-03
  0.5750000E+02   0.2348261E-03   0.2885545E-03   0.2640163E-03
  0.5850000E+02   0.2508913E-03   0.3032742E-03   0.2794980E-03
  0.5950000E+02   0.2677618E-03   0.3185744E-03   0.2956648E-03
  0.6050000E+02   0.2854577E-03   0.3344694E-03   0.3125332E-03
  0.6150000E+02   0.3039983E-03   0.3509731E-03   0.3301191E-03
  0.6250000E+02   0.3234020E-03   0.3680991E-03   0.3484380E-03
  0.6350000E+02   0.3436865E-03   0.3858611E-03   0.3675049E-03
  0.6450000E+02   0.3648686E-03   0.4042722E-03   0.3873340E-03
  0.6550000E+02   0.3869638E-03   0.4233453E-03   0.4079392E-03
  0.6650000E+02   0.4099868E-03   0.4430929E-03   0.4293334E-03
  0.6750000E+02   0.4339508E-03   0.4635273E-03   0.4515289E-03
  0.6850000E+02   0.4588680E-03   0.4846600E-03   0.4745371E-03
  0.6950000E+02   0.4847491E-03   0.5065022E-03   0.4983686E-03
  0.7050000E+02   0.5116036E-03   0.5290647E-03   0.5230331E-03
  0.7150000E+02   0.5394391E-03   0.5523574E-03   0.5485392E-03
  0.7250000E+02   0.5682622E-03   0.5763898E-03   0.5748946E-03
  0.7350000E+02   0.5980776E-03   0.6021060E-03   0.6021060E-03
  0.7450000E+02   0.6267078E-03   0.6301787E-03   0.6301787E-03
  0.7550000E+02   0.6530088E-03   0.6606955E-03   0.6591171E-03
  0.7650000E+02   0.6800800E-03   0.6934991E-03   0.6889242E-03
  0.7750000E+02   0.7079270E-03   0.7272967E-03   0.7196020E-03
  0.7850000E+02   0.7365545E-03   0.7620843E-03   0.7511508E-03
  0.7950000E+02   0.7659663E-03   0.7978559E-03   0.7835700E-03
  0.8050000E+02   0.7961652E-03   0.8346038E-03   0.8168573E-03
  0.8150000E+02   0.8271530E-03   0.8723181E-03   0.8510093E-03
  0.8250000E+02   0.8589304E-03   0.9109871E-03   0.8860209E-03
  0.8350000E+02   0.8914970E-03   0.9505972E-03   0.9218857E-03
  0.8450000E+02   0.9248515E-03   0.9911328E-03   0.9585958E-03
  0.8550000E+02   0.9589910E-03   0.1032576E-02   0.9961419E-03
  0.8650000E+02   0.9939119E-03   0.1074908E-02   0.1034513E-02
  0.8750000E+02   0.1029609E-02   0.1118107E-02   0.1073697E-02
  0.8850000E+02   0.1066076E-02   0.1162150E-02   0.1113680E-02
  0.8950000E+02   0.1103306E-02   0.1207012E-02   0.1154446E-02
  0.9050000E+02   0.1141289E-02   0.1252665E-02   0.1195979E-02
  0.9150000E+02   0.1180016E-02   0.1299081E-02   0.1238260E-02
  0.9250000E+02   0.1219475E-02   0.1346230E-02   0.1281269E-02
  0.9350000E+02   0.1259654E-02   0.1394079E-02   0.1324985E-02
  0.9450000E+02   0.1300538E-02   0.1442595E-02   0.1369385E-02
  0.9550000E+02   0.1342112E-02   0.1491742E-02   0.1414445E-02
