             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.5663293E-09   0.2648360E-04   0.1055188E-07
  0.1500000E+01   0.7197812E-09   0.2274562E-04   0.1120297E-07
  0.2500000E+01   0.8597227E-09   0.1969485E-04   0.1192853E-07
  0.3500000E+01   0.9772613E-09   0.1718809E-04   0.1273605E-07
  0.4500000E+01   0.1068643E-08   0.1511516E-04   0.1363392E-07
  0.5500000E+01   0.1134495E-08   0.1339063E-04   0.1463160E-07
  0.6500000E+01   0.1178388E-08   0.1194785E-04   0.1573972E-07
  0.7500000E+01   0.1205375E-08   0.1073443E-04   0.1697019E-07
  0.8500000E+01   0.1220872E-08   0.9708946E-05   0.1833636E-07
  0.9500000E+01   0.1229962E-08   0.8838437E-05   0.1985319E-07
  0.1050000E+02   0.1237071E-08   0.8096523E-05   0.2153744E-07
  0.1150000E+02   0.1245891E-08   0.7461968E-05   0.2340785E-07
  0.1250000E+02   0.1259467E-08   0.6917591E-05   0.2548538E-07
  0.1350000E+02   0.1280346E-08   0.6449417E-05   0.2779348E-07
  0.1450000E+02   0.1310756E-08   0.6046026E-05   0.3035838E-07
  0.1550000E+02   0.1352773E-08   0.5698046E-05   0.3320938E-07
  0.1650000E+02   0.1408488E-08   0.5397752E-05   0.3637923E-07
  0.1750000E+02   0.1480148E-08   0.5138754E-05   0.3990452E-07
  0.1850000E+02   0.1570302E-08   0.4915748E-05   0.4382609E-07
  0.1950000E+02   0.1681930E-08   0.4724321E-05   0.4818959E-07
  0.2050000E+02   0.1818590E-08   0.4560792E-05   0.5304594E-07
  0.2150000E+02   0.1984567E-08   0.4422087E-05   0.5845197E-07
  0.2250000E+02   0.2185048E-08   0.4305637E-05   0.6447108E-07
  0.2350000E+02   0.2426315E-08   0.4209293E-05   0.7117397E-07
  0.2450000E+02   0.2715984E-08   0.4131265E-05   0.7863947E-07
  0.2550000E+02   0.3063270E-08   0.4070065E-05   0.8695542E-07
  0.2650000E+02   0.3479319E-08   0.4024459E-05   0.9621965E-07
  0.2750000E+02   0.3977589E-08   0.3993439E-05   0.1065411E-06
  0.2850000E+02   0.4574304E-08   0.3976187E-05   0.1180410E-06
  0.2950000E+02   0.5288988E-08   0.3972053E-05   0.1308543E-06
  0.3050000E+02   0.6145102E-08   0.3980536E-05   0.1451310E-06
  0.3150000E+02   0.7170779E-08   0.4001267E-05   0.1610377E-06
  0.3250000E+02   0.8399695E-08   0.4033996E-05   0.1787596E-06
  0.3350000E+02   0.9872069E-08   0.4078580E-05   0.1985022E-06
  0.3450000E+02   0.1163584E-07   0.4134980E-05   0.2204936E-06
  0.3550000E+02   0.1374801E-07   0.4203248E-05   0.2449866E-06
  0.3650000E+02   0.1627620E-07   0.4283524E-05   0.2722616E-06
  0.3750000E+02   0.1930043E-07   0.4376034E-05   0.3026289E-06
  0.3850000E+02   0.2291514E-07   0.4481085E-05   0.3364319E-06
  0.3950000E+02   0.2723154E-07   0.4599068E-05   0.3740507E-06
  0.4050000E+02   0.3238017E-07   0.4730448E-05   0.4159051E-06
  0.4150000E+02   0.3851388E-07   0.4875777E-05   0.4624590E-06
  0.4250000E+02   0.4581117E-07   0.5035681E-05   0.5142242E-06
  0.4350000E+02   0.5447984E-07   0.5210875E-05   0.5717653E-06
  0.4450000E+02   0.6476125E-07   0.5402155E-05   0.6357044E-06
  0.4550000E+02   0.7693481E-07   0.5610405E-05   0.7067265E-06
  0.4650000E+02   0.9132319E-07   0.5836600E-05   0.7855856E-06
  0.4750000E+02   0.1082980E-06   0.6081812E-05   0.8731102E-06
  0.4850000E+02   0.1282858E-06   0.6347209E-05   0.9702108E-06
  0.4950000E+02   0.1517753E-06   0.6634067E-05   0.1077886E-05
  0.5050000E+02   0.1793247E-06   0.6943768E-05   0.1197233E-05
  0.5150000E+02   0.2115699E-06   0.7277813E-05   0.1329451E-05
  0.5250000E+02   0.2492332E-06   0.7637825E-05   0.1475855E-05
  0.5350000E+02   0.2931336E-06   0.8025555E-05   0.1637882E-05
  0.5450000E+02   0.3441969E-06   0.8442894E-05   0.1817103E-05
  0.5550000E+02   0.4034673E-06   0.8891876E-05   0.2015233E-05
  0.5650000E+02   0.4721198E-06   0.9374691E-05   0.2234142E-05
  0.5750000E+02   0.5514732E-06   0.9893691E-05   0.2475869E-05
  0.5850000E+02   0.6430051E-06   0.1045140E-04   0.2742633E-05
  0.5950000E+02   0.7483664E-06   0.1105053E-04   0.3036846E-05
  0.6050000E+02   0.8693987E-06   0.1169399E-04   0.3361132E-05
  0.6150000E+02   0.1008151E-05   0.1238489E-04   0.3718335E-05
  0.6250000E+02   0.1166899E-05   0.1312655E-04   0.4111542E-05
  0.6350000E+02   0.1348166E-05   0.1392253E-04   0.4544097E-05
  0.6450000E+02   0.1554741E-05   0.1477665E-04   0.5019616E-05
  0.6550000E+02   0.1789706E-05   0.1569297E-04   0.5542010E-05
  0.6650000E+02   0.2056456E-05   0.1667581E-04   0.6115504E-05
  0.6750000E+02   0.2358725E-05   0.1772982E-04   0.6744652E-05
  0.6850000E+02   0.2700613E-05   0.1885992E-04   0.7434365E-05
  0.6950000E+02   0.3086616E-05   0.2007137E-04   0.8189927E-05
  0.7050000E+02   0.3521650E-05   0.2136975E-04   0.9017022E-05
  0.7150000E+02   0.4011087E-05   0.2276100E-04   0.9921755E-05
  0.7250000E+02   0.4560781E-05   0.2425146E-04   0.1091068E-04
  0.7350000E+02   0.5177109E-05   0.2584783E-04   0.1199081E-04
