             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.9115128E-13   0.3916833E-12   0.1837125E-12
  0.1500000E+01   0.2398163E-12   0.3608244E-12   0.2944987E-12
  0.2500000E+01   0.3827645E-12   0.5010611E-12   0.4455205E-12
  0.3500000E+01   0.4499948E-12   0.8732074E-12   0.6418481E-12
  0.4500000E+01   0.5684303E-12   0.1322207E-11   0.8875698E-12
  0.5500000E+01   0.7526558E-12   0.1799293E-11   0.1186172E-11
  0.6500000E+01   0.1024470E-11   0.2262325E-11   0.1541109E-11
  0.7500000E+01   0.1411989E-11   0.2688064E-11   0.1956451E-11
  0.8500000E+01   0.1948184E-11   0.3073446E-11   0.2437525E-11
  0.9500000E+01   0.2668402E-11   0.3430555E-11   0.2991525E-11
  0.1050000E+02   0.3606887E-11   0.3780470E-11   0.3628068E-11
  0.1150000E+02   0.4148775E-11   0.4792812E-11   0.4359738E-11
  0.1250000E+02   0.4563397E-11   0.6246651E-11   0.5202656E-11
  0.1350000E+02   0.5054411E-11   0.7977829E-11   0.6177100E-11
  0.1450000E+02   0.5655171E-11   0.9984328E-11   0.7308251E-11
  0.1550000E+02   0.6404346E-11   0.1225451E-10   0.8627081E-11
  0.1650000E+02   0.7348591E-11   0.1477080E-10   0.1017145E-10
  0.1750000E+02   0.8545820E-11   0.1751470E-10   0.1198743E-10
  0.1850000E+02   0.1006914E-10   0.2047202E-10   0.1413099E-10
  0.1950000E+02   0.1201155E-10   0.2363790E-10   0.1666993E-10
  0.2050000E+02   0.1449158E-10   0.2702100E-10   0.1968637E-10
  0.2150000E+02   0.1766002E-10   0.3064670E-10   0.2327965E-10
  0.2250000E+02   0.2170776E-10   0.3455967E-10   0.2756987E-10
  0.2350000E+02   0.2687492E-10   0.3882599E-10   0.3270213E-10
  0.2450000E+02   0.3346117E-10   0.4353542E-10   0.3885159E-10
  0.2550000E+02   0.4183708E-10   0.4880428E-10   0.4622950E-10
  0.2650000E+02   0.5245634E-10   0.5509040E-10   0.5509040E-10
  0.2750000E+02   0.6164392E-10   0.6586831E-10   0.6574060E-10
  0.2850000E+02   0.6962463E-10   0.8273056E-10   0.7854827E-10
  0.2950000E+02   0.7900270E-10   0.1038206E-09   0.9395521E-10
  0.3050000E+02   0.9012723E-10   0.1300461E-09   0.1124909E-09
  0.3150000E+02   0.1034331E-09   0.1624533E-09   0.1347885E-09
  0.3250000E+02   0.1194641E-09   0.2022326E-09   0.1616042E-09
  0.3350000E+02   0.1389026E-09   0.2507209E-09   0.1938393E-09
  0.3450000E+02   0.1626069E-09   0.3094009E-09   0.2325657E-09
  0.3550000E+02   0.1916601E-09   0.3798977E-09   0.2790557E-09
  0.3650000E+02   0.2274305E-09   0.4639725E-09   0.3348164E-09
  0.3750000E+02   0.2716490E-09   0.5635155E-09   0.4016292E-09
  0.3850000E+02   0.3265063E-09   0.6805380E-09   0.4815949E-09
  0.3950000E+02   0.3947756E-09   0.8171664E-09   0.5771853E-09
  0.4050000E+02   0.4799644E-09   0.9756390E-09   0.6913027E-09
  0.4150000E+02   0.5865047E-09   0.1158307E-08   0.8273465E-09
  0.4250000E+02   0.7199876E-09   0.1367643E-08   0.9892897E-09
  0.4350000E+02   0.8874510E-09   0.1606256E-08   0.1181765E-08
  0.4450000E+02   0.1097731E-08   0.1876915E-08   0.1410161E-08
  0.4550000E+02   0.1361886E-08   0.2182580E-08   0.1680734E-08
  0.4650000E+02   0.1693706E-08   0.2526452E-08   0.2000729E-08
  0.4750000E+02   0.2110317E-08   0.2912019E-08   0.2378517E-08
  0.4850000E+02   0.2632891E-08   0.3343126E-08   0.2823750E-08
  0.4950000E+02   0.3287476E-08   0.3824046E-08   0.3347535E-08
  0.5050000E+02   0.3962619E-08   0.4359571E-08   0.3962619E-08
  0.5150000E+02   0.4683610E-08   0.5127044E-08   0.4683610E-08
  0.5250000E+02   0.5527204E-08   0.6397666E-08   0.5527204E-08
  0.5350000E+02   0.6351545E-08   0.7974101E-08   0.6512453E-08
  0.5450000E+02   0.7167384E-08   0.9923518E-08   0.7661051E-08
  0.5550000E+02   0.8073377E-08   0.1232548E-07   0.8997649E-08
  0.5650000E+02   0.9079920E-08   0.1527355E-07   0.1055021E-07
  0.5750000E+02   0.1019891E-07   0.1887690E-07   0.1235039E-07
