             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1014257E-06   0.9650513E-05   0.1711935E-05
  0.1500000E+01   0.1014477E-06   0.8133190E-05   0.1597982E-05
  0.2500000E+01   0.1035724E-06   0.6975649E-05   0.1498759E-05
  0.3500000E+01   0.1073377E-06   0.6071315E-05   0.1412192E-05
  0.4500000E+01   0.1124174E-06   0.5349724E-05   0.1336556E-05
  0.5500000E+01   0.1185630E-06   0.4763096E-05   0.1270412E-05
  0.6500000E+01   0.1255720E-06   0.4278289E-05   0.1212551E-05
  0.7500000E+01   0.1332713E-06   0.3871844E-05   0.1161956E-05
  0.8500000E+01   0.1415084E-06   0.3526845E-05   0.1117770E-05
  0.9500000E+01   0.1501490E-06   0.3230881E-05   0.1079268E-05
  0.1050000E+02   0.1590763E-06   0.2974695E-05   0.1045832E-05
  0.1150000E+02   0.1681918E-06   0.2751278E-05   0.1016941E-05
  0.1250000E+02   0.1774167E-06   0.2555238E-05   0.9921476E-06
  0.1350000E+02   0.1866931E-06   0.2382367E-05   0.9710728E-06
  0.1450000E+02   0.1959836E-06   0.2229333E-05   0.9533929E-06
  0.1550000E+02   0.2052717E-06   0.2093460E-05   0.9388319E-06
  0.1650000E+02   0.2145602E-06   0.1972569E-05   0.9271551E-06
  0.1750000E+02   0.2238699E-06   0.1864863E-05   0.9181631E-06
  0.1850000E+02   0.2332377E-06   0.1768844E-05   0.9116873E-06
  0.1950000E+02   0.2427144E-06   0.1683249E-05   0.9075858E-06
  0.2050000E+02   0.2523628E-06   0.1607004E-05   0.9057402E-06
  0.2150000E+02   0.2622554E-06   0.1539186E-05   0.9060527E-06
  0.2250000E+02   0.2724732E-06   0.1479001E-05   0.9084439E-06
  0.2350000E+02   0.2831039E-06   0.1425759E-05   0.9128508E-06
  0.2450000E+02   0.2942407E-06   0.1378859E-05   0.9192250E-06
  0.2550000E+02   0.3059818E-06   0.1337776E-05   0.9275315E-06
  0.2650000E+02   0.3184299E-06   0.1302052E-05   0.9377473E-06
  0.2750000E+02   0.3316912E-06   0.1271287E-05   0.9498608E-06
  0.2850000E+02   0.3458764E-06   0.1245128E-05   0.9638704E-06
  0.2950000E+02   0.3610998E-06   0.1223271E-05   0.9797843E-06
  0.3050000E+02   0.3774803E-06   0.1205449E-05   0.9976198E-06
  0.3150000E+02   0.3951412E-06   0.1191432E-05   0.1017402E-05
  0.3250000E+02   0.4142107E-06   0.1181022E-05   0.1039166E-05
  0.3350000E+02   0.4348229E-06   0.1174047E-05   0.1062953E-05
  0.3450000E+02   0.4571172E-06   0.1170366E-05   0.1088812E-05
  0.3550000E+02   0.4812398E-06   0.1169858E-05   0.1116800E-05
  0.3650000E+02   0.5073436E-06   0.1172426E-05   0.1146981E-05
  0.3750000E+02   0.5355883E-06   0.1179427E-05   0.1179427E-05
  0.3850000E+02   0.5661417E-06   0.1214216E-05   0.1214216E-05
  0.3950000E+02   0.5991791E-06   0.1251433E-05   0.1251433E-05
  0.4050000E+02   0.6348840E-06   0.1291171E-05   0.1291171E-05
  0.4150000E+02   0.6734480E-06   0.1333530E-05   0.1333530E-05
  0.4250000E+02   0.7150714E-06   0.1378616E-05   0.1378616E-05
  0.4350000E+02   0.7599629E-06   0.1426544E-05   0.1426544E-05
  0.4450000E+02   0.8083395E-06   0.1477435E-05   0.1477435E-05
  0.4550000E+02   0.8604268E-06   0.1531418E-05   0.1531418E-05
  0.4650000E+02   0.9164587E-06   0.1588631E-05   0.1588631E-05
  0.4750000E+02   0.9766770E-06   0.1649216E-05   0.1649216E-05
  0.4850000E+02   0.1041332E-05   0.1713327E-05   0.1713327E-05
  0.4950000E+02   0.1110680E-05   0.1781124E-05   0.1781124E-05
  0.5050000E+02   0.1184987E-05   0.1852774E-05   0.1852774E-05
  0.5150000E+02   0.1264525E-05   0.1928455E-05   0.1928455E-05
  0.5250000E+02   0.1349571E-05   0.2008352E-05   0.2008352E-05
  0.5350000E+02   0.1440410E-05   0.2092659E-05   0.2092659E-05
  0.5450000E+02   0.1537333E-05   0.2181578E-05   0.2181578E-05
  0.5550000E+02   0.1640636E-05   0.2275322E-05   0.2275322E-05
  0.5650000E+02   0.1750618E-05   0.2374111E-05   0.2374111E-05
  0.5750000E+02   0.1867586E-05   0.2478175E-05   0.2478175E-05
  0.5850000E+02   0.1991851E-05   0.2587755E-05   0.2587755E-05
  0.5950000E+02   0.2084757E-05   0.2703100E-05   0.2703100E-05
  0.6050000E+02   0.2169430E-05   0.2824469E-05   0.2824469E-05
  0.6150000E+02   0.2259074E-05   0.2952131E-05   0.2952131E-05
  0.6250000E+02   0.2353902E-05   0.3086367E-05   0.3086367E-05
  0.6350000E+02   0.2454136E-05   0.3227465E-05   0.3227465E-05
  0.6450000E+02   0.2560012E-05   0.3375726E-05   0.3375726E-05
  0.6550000E+02   0.2671773E-05   0.3531460E-05   0.3531460E-05
  0.6650000E+02   0.2789678E-05   0.3694988E-05   0.3694988E-05
  0.6750000E+02   0.2913994E-05   0.3866642E-05   0.3866642E-05
  0.6850000E+02   0.3045002E-05   0.4046763E-05   0.4046763E-05
  0.6950000E+02   0.3182995E-05   0.4235704E-05   0.4235704E-05
  0.7050000E+02   0.3328277E-05   0.4433829E-05   0.4433829E-05
  0.7150000E+02   0.3481166E-05   0.4641512E-05   0.4641512E-05
  0.7250000E+02   0.3641992E-05   0.4859137E-05   0.4859137E-05
  0.7350000E+02   0.3811099E-05   0.5087100E-05   0.5087100E-05
  0.7450000E+02   0.3988844E-05   0.5325807E-05   0.5325807E-05
  0.7550000E+02   0.4175596E-05   0.5575672E-05   0.5575672E-05
  0.7650000E+02   0.4371739E-05   0.5852788E-05   0.5837124E-05
  0.7750000E+02   0.4577671E-05   0.6179815E-05   0.6110597E-05
  0.7850000E+02   0.4793803E-05   0.6521213E-05   0.6396539E-05
  0.7950000E+02   0.5020561E-05   0.6877398E-05   0.6695404E-05
  0.8050000E+02   0.5258384E-05   0.7248789E-05   0.7007659E-05
  0.8150000E+02   0.5507726E-05   0.7635816E-05   0.7333777E-05
  0.8250000E+02   0.5769055E-05   0.8038917E-05   0.7674241E-05
  0.8350000E+02   0.6042852E-05   0.8458538E-05   0.8029543E-05
  0.8450000E+02   0.6329615E-05   0.8895131E-05   0.8400182E-05
  0.8550000E+02   0.6629852E-05   0.9349161E-05   0.8786665E-05
  0.8650000E+02   0.6944088E-05   0.9821096E-05   0.9189507E-05
  0.8750000E+02   0.7272860E-05   0.1031142E-04   0.9609228E-05
  0.8850000E+02   0.7616720E-05   0.1082061E-04   0.1004636E-04
  0.8950000E+02   0.7976232E-05   0.1134916E-04   0.1050142E-04
  0.9050000E+02   0.8351972E-05   0.1189758E-04   0.1097496E-04
  0.9150000E+02   0.8744530E-05   0.1246636E-04   0.1146753E-04
  0.9250000E+02   0.9154507E-05   0.1305603E-04   0.1197965E-04
  0.9350000E+02   0.9582517E-05   0.1366709E-04   0.1251189E-04
  0.9450000E+02   0.1002918E-04   0.1430008E-04   0.1306479E-04
