             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00  -0.9999766E-02  -0.2622131E-04  -0.2622131E-04
  0.1500000E+01  -0.9999770E-02  -0.1157795E-09  -0.1157795E-09
  0.2500000E+01  -0.9999774E-02  -0.1897189E-13  -0.1897189E-13
  0.3500000E+01  -0.9999778E-02  -0.5395676E-16  -0.5395676E-16
  0.4500000E+01  -0.9999782E-02  -0.1414333E-17  -0.1414333E-17
  0.5500000E+01  -0.9999786E-02  -0.2023516E-18  -0.2023516E-18
  0.6500000E+01  -0.9999790E-02  -0.1027415E-18  -0.1027415E-18
  0.7500000E+01  -0.9999793E-02  -0.1303444E-18  -0.1303444E-18
  0.8500000E+01  -0.9999797E-02  -0.3112846E-18  -0.3112846E-18
  0.9500000E+01  -0.9999801E-02  -0.1116380E-17  -0.1116380E-17
  0.1050000E+02  -0.9999804E-02  -0.5033227E-17  -0.5033227E-17
  0.1150000E+02  -0.9999808E-02  -0.2486390E-16  -0.2486390E-16
  0.1250000E+02  -0.9999811E-02  -0.1212993E-15  -0.1212993E-15
  0.1350000E+02  -0.9999815E-02  -0.5415360E-15  -0.5415360E-15
  0.1450000E+02  -0.9999818E-02  -0.2097242E-14  -0.2097242E-14
  0.1550000E+02  -0.9999821E-02  -0.6802881E-14  -0.6802881E-14
  0.1650000E+02  -0.9999825E-02  -0.1811109E-13  -0.1811109E-13
  0.1750000E+02  -0.9999828E-02  -0.3923354E-13  -0.3923354E-13
  0.1850000E+02  -0.9999831E-02  -0.6918662E-13  -0.6918662E-13
  0.1950000E+02  -0.9999834E-02  -0.1000495E-12  -0.1000495E-12
  0.2050000E+02  -0.9999837E-02  -0.1201173E-12  -0.1201173E-12
  0.2150000E+02  -0.9999840E-02  -0.1216475E-12  -0.1216475E-12
  0.2250000E+02  -0.9999843E-02  -0.1058324E-12  -0.1058324E-12
  0.2350000E+02  -0.9999846E-02  -0.8065454E-13  -0.8065454E-13
  0.2450000E+02  -0.9999849E-02  -0.5493230E-13  -0.5493230E-13
  0.2550000E+02  -0.9999852E-02  -0.3410771E-13  -0.3410771E-13
  0.2650000E+02  -0.9999855E-02  -0.1968203E-13  -0.1968203E-13
  0.2750000E+02  -0.9999858E-02  -0.1075021E-13  -0.1075021E-13
  0.2850000E+02  -0.9999860E-02  -0.5653078E-14  -0.5653078E-14
  0.2950000E+02  -0.9999863E-02  -0.2906978E-14  -0.2906978E-14
  0.3050000E+02  -0.9999866E-02  -0.1482455E-14  -0.1482455E-14
  0.3150000E+02  -0.9999869E-02  -0.7591054E-15  -0.7591054E-15
  0.3250000E+02  -0.9999871E-02  -0.3945478E-15  -0.3945478E-15
  0.3350000E+02  -0.9999874E-02  -0.2100782E-15  -0.2100782E-15
  0.3450000E+02  -0.9999876E-02  -0.1154749E-15  -0.1154749E-15
  0.3550000E+02  -0.9999879E-02  -0.6593688E-16  -0.6593688E-16
  0.3650000E+02  -0.9999881E-02  -0.3930241E-16  -0.3930241E-16
  0.3750000E+02  -0.9999884E-02  -0.2454302E-16  -0.2454302E-16
  0.3850000E+02  -0.9999886E-02  -0.1609618E-16  -0.1609618E-16
  0.3950000E+02  -0.9999888E-02  -0.1110246E-16  -0.1110246E-16
  0.4050000E+02  -0.9999891E-02  -0.8058076E-17  -0.8058076E-17
  0.4150000E+02  -0.9999893E-02  -0.6152039E-17  -0.6152039E-17
  0.4250000E+02  -0.9999895E-02  -0.4935558E-17  -0.4935558E-17
  0.4350000E+02  -0.9999897E-02  -0.4154088E-17  -0.4154088E-17
  0.4450000E+02  -0.9999899E-02  -0.3660261E-17  -0.3660261E-17
  0.4550000E+02  -0.9999902E-02  -0.3367767E-17  -0.3367767E-17
  0.4650000E+02  -0.9999904E-02  -0.3226425E-17  -0.3226425E-17
  0.4750000E+02  -0.9999906E-02  -0.3208489E-17  -0.3208489E-17
  0.4850000E+02  -0.9999908E-02  -0.3301059E-17  -0.3301059E-17
  0.4950000E+02  -0.9999910E-02  -0.3501928E-17  -0.3501928E-17
  0.5050000E+02  -0.9999912E-02  -0.3817396E-17  -0.3817396E-17
  0.5150000E+02  -0.9999914E-02  -0.4261263E-17  -0.4261263E-17
  0.5250000E+02  -0.9999915E-02  -0.4854503E-17  -0.4854503E-17
  0.5350000E+02  -0.9999917E-02  -0.5625307E-17  -0.5625307E-17
  0.5450000E+02  -0.9999919E-02  -0.6609254E-17  -0.6609254E-17
  0.5550000E+02  -0.9999921E-02  -0.7849358E-17  -0.7849358E-17
  0.5650000E+02  -0.9999923E-02  -0.9395788E-17  -0.9395788E-17
  0.5750000E+02  -0.9999925E-02  -0.1130498E-16  -0.1130498E-16
  0.5850000E+02  -0.9999926E-02  -0.1363789E-16  -0.1363789E-16
  0.5950000E+02  -0.9999928E-02  -0.1645728E-16  -0.1645728E-16
  0.6050000E+02  -0.9999930E-02  -0.1982366E-16  -0.1982366E-16
  0.6150000E+02  -0.9999931E-02  -0.2379020E-16  -0.2379020E-16
  0.6250000E+02  -0.9999933E-02  -0.2839656E-16  -0.2839656E-16
  0.6350000E+02  -0.9999934E-02  -0.3366215E-16  -0.3366215E-16
  0.6450000E+02  -0.9999936E-02  -0.3957946E-16  -0.3957946E-16
  0.6550000E+02  -0.9999937E-02  -0.4610827E-16  -0.4610827E-16
  0.6650000E+02  -0.9999939E-02  -0.5317165E-16  -0.5317165E-16
