             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.3179333E-05   0.8478839E-05   0.5312156E-05
  0.1500000E+01   0.4225462E-05   0.1069582E-04   0.6855976E-05
  0.2500000E+01   0.5565327E-05   0.1340728E-04   0.8782140E-05
  0.3500000E+01   0.7266205E-05   0.1670209E-04   0.1116747E-04
  0.4500000E+01   0.9406825E-05   0.2068044E-04   0.1410007E-04
  0.5500000E+01   0.1207844E-04   0.2545446E-04   0.1768010E-04
  0.6500000E+01   0.1538584E-04   0.3114864E-04   0.2202057E-04
  0.7500000E+01   0.1944825E-04   0.3790021E-04   0.2724790E-04
  0.8500000E+01   0.2440011E-04   0.4585931E-04   0.3350244E-04
  0.9500000E+01   0.3039165E-04   0.5518898E-04   0.4093874E-04
  0.1050000E+02   0.3758930E-04   0.6606499E-04   0.4972568E-04
  0.1150000E+02   0.4617579E-04   0.7867538E-04   0.6004635E-04
  0.1250000E+02   0.5635009E-04   0.9321988E-04   0.7209768E-04
  0.1350000E+02   0.6832690E-04   0.1099090E-03   0.8608986E-04
  0.1450000E+02   0.8233600E-04   0.1289630E-03   0.1022455E-03
  0.1550000E+02   0.9862110E-04   0.1506104E-03   0.1207982E-03
  0.1650000E+02   0.1174385E-03   0.1750865E-03   0.1419918E-03
  0.1750000E+02   0.1390553E-03   0.2026318E-03   0.1660779E-03
  0.1850000E+02   0.1637475E-03   0.2334896E-03   0.1933143E-03
  0.1950000E+02   0.1917975E-03   0.2679041E-03   0.2239629E-03
  0.2050000E+02   0.2234914E-03   0.3061180E-03   0.2582871E-03
  0.2150000E+02   0.2591164E-03   0.3483700E-03   0.2965495E-03
  0.2250000E+02   0.2989575E-03   0.3948925E-03   0.3390086E-03
  0.2350000E+02   0.3432946E-03   0.4459086E-03   0.3859167E-03
  0.2450000E+02   0.3923987E-03   0.5016298E-03   0.4375163E-03
  0.2550000E+02   0.4465289E-03   0.5622530E-03   0.4940377E-03
  0.2650000E+02   0.5059289E-03   0.6279582E-03   0.5556955E-03
  0.2750000E+02   0.5708236E-03   0.6989063E-03   0.6226863E-03
  0.2850000E+02   0.6414160E-03   0.7752359E-03   0.6951855E-03
  0.2950000E+02   0.7178840E-03   0.8570620E-03   0.7733447E-03
  0.3050000E+02   0.8003778E-03   0.9444734E-03   0.8572895E-03
  0.3150000E+02   0.8890171E-03   0.1037531E-02   0.9471172E-03
  0.3250000E+02   0.9838889E-03   0.1136267E-02   0.1042894E-02
  0.3350000E+02   0.1085045E-02   0.1240682E-02   0.1144656E-02
  0.3450000E+02   0.1192503E-02   0.1350746E-02   0.1252404E-02
  0.3550000E+02   0.1306239E-02   0.1466396E-02   0.1366104E-02
  0.3650000E+02   0.1426195E-02   0.1587537E-02   0.1485690E-02
  0.3750000E+02   0.1552272E-02   0.1714042E-02   0.1611057E-02
  0.3850000E+02   0.1684332E-02   0.1845750E-02   0.1742066E-02
