2.500000000000000000e+02 6.818999999999999980e-42 1.434999999999999857e-42
3.500000000000000000e+02 1.221999999999999890e-41 1.454999999999999919e-42
4.500000000000000000e+02 1.545999999999999927e-41 1.580999999999999954e-42
5.500000000000000000e+02 1.738000000000000005e-41 1.648000000000000016e-42
6.500000000000000000e+02 1.364999999999999993e-41 1.790999999999999801e-42
7.500000000000000000e+02 9.095999999999999964e-42 1.513000000000000001e-42
8.500000000000000000e+02 5.267000000000000066e-42 1.067999999999999991e-42
9.500000000000000000e+02 2.227999999999999882e-42 5.982000000000000107e-43
1.050000000000000000e+03 8.165000000000000249e-43 2.671999999999999841e-43
1.150000000000000000e+03 3.560999999999999968e-43 1.550999999999999902e-43
1.250000000000000000e+03 1.135999999999999905e-43 6.928000000000000106e-44
1.350000000000000000e+03 1.309999999999999993e-45 8.900999999999999725e-44
