2.500000000000000000e+02 2.133999999999999881e-42 9.813999999999999201e-43
3.500000000000000000e+02 3.114999999999999589e-42 1.004000000000000082e-42
4.500000000000000000e+02 5.176000000000000058e-42 1.235999999999999932e-42
5.500000000000000000e+02 7.107999999999998906e-42 1.374999999999999992e-42
6.500000000000000000e+02 8.487999999999999630e-42 1.336999999999999812e-42
7.500000000000000000e+02 9.689999999999999904e-42 1.252999999999999841e-42
8.500000000000000000e+02 1.014999999999999972e-41 1.207999999999999942e-42
9.500000000000000000e+02 9.987999999999998810e-42 1.180999999999999844e-42
1.050000000000000000e+03 9.729999999999999390e-42 1.344000000000000009e-42
1.150000000000000000e+03 8.749999999999999891e-42 1.466000000000000000e-42
1.250000000000000000e+03 7.262999999999998982e-42 1.528999999999999859e-42
1.350000000000000000e+03 6.384999999999999255e-42 1.733999999999999929e-42
1.450000000000000000e+03 5.478999999999999378e-42 1.938000000000000108e-42
1.550000000000000000e+03 4.839999999999999538e-42 3.090000000000000070e-42
