             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00  -0.1520779E-06  -0.6551890E-09  -0.1923777E-07
  0.1500000E+01  -0.1361912E-06  -0.5780704E-09  -0.1804455E-07
  0.2500000E+01  -0.1382843E-06  -0.5123478E-09  -0.1694717E-07
  0.3500000E+01  -0.1518728E-06  -0.4560919E-09  -0.1593679E-07
  0.4500000E+01  -0.1737399E-06  -0.4077364E-09  -0.1500539E-07
  0.5500000E+01  -0.2009866E-06  -0.3660037E-09  -0.1414575E-07
  0.6500000E+01  -0.2298301E-06  -0.3298463E-09  -0.1335138E-07
  0.7500000E+01  -0.2554332E-06  -0.2984017E-09  -0.1261642E-07
  0.8500000E+01  -0.2726248E-06  -0.2709564E-09  -0.1193561E-07
  0.9500000E+01  -0.2772255E-06  -0.2469179E-09  -0.1130421E-07
  0.1050000E+02  -0.2673669E-06  -0.2257921E-09  -0.1071797E-07
  0.1150000E+02  -0.2441226E-06  -0.2071652E-09  -0.1017304E-07
  0.1250000E+02  -0.2111108E-06  -0.1906898E-09  -0.9665975E-08
  0.1350000E+02  -0.1732783E-06  -0.1760728E-09  -0.9193642E-08
  0.1450000E+02  -0.1354614E-06  -0.1630660E-09  -0.8753225E-08
  0.1550000E+02  -0.1013111E-06  -0.1514589E-09  -0.8342171E-08
  0.1650000E+02  -0.7286188E-07  -0.1410720E-09  -0.7958168E-08
  0.1750000E+02  -0.5067202E-07  -0.1317520E-09  -0.7599115E-08
  0.1850000E+02  -0.3427552E-07  -0.1233676E-09  -0.7263105E-08
  0.1950000E+02  -0.2268287E-07  -0.1158057E-09  -0.6948398E-08
  0.2050000E+02  -0.1477154E-07  -0.1089690E-09  -0.6653411E-08
  0.2150000E+02  -0.9519185E-08  -0.1027731E-09  -0.6376695E-08
  0.2250000E+02  -0.6116927E-08  -0.9714518E-10  -0.6116927E-08
  0.2350000E+02  -0.5872894E-08  -0.9202166E-10  -0.5872894E-08
  0.2450000E+02  -0.5643482E-08  -0.8734725E-10  -0.5643482E-08
  0.2550000E+02  -0.5427669E-08  -0.8307363E-10  -0.5427669E-08
  0.2650000E+02  -0.5224516E-08  -0.7915848E-10  -0.5224516E-08
  0.2750000E+02  -0.5033156E-08  -0.7556466E-10  -0.5033156E-08
  0.2850000E+02  -0.4852792E-08  -0.7225946E-10  -0.4852792E-08
  0.2950000E+02  -0.4682685E-08  -0.6921407E-10  -0.4682685E-08
  0.3050000E+02  -0.4522157E-08  -0.6640302E-10  -0.4522157E-08
  0.3150000E+02  -0.4370576E-08  -0.6380374E-10  -0.4370576E-08
  0.3250000E+02  -0.4227360E-08  -0.6139621E-10  -0.4227360E-08
  0.3350000E+02  -0.4091970E-08  -0.5916264E-10  -0.4091970E-08
  0.3450000E+02  -0.3963905E-08  -0.5708716E-10  -0.3963905E-08
  0.3550000E+02  -0.3842700E-08  -0.5515561E-10  -0.3842700E-08
  0.3650000E+02  -0.3727924E-08  -0.5217953E-10  -0.3727924E-08
  0.3750000E+02  -0.3619176E-08  -0.4427254E-10  -0.3619176E-08
  0.3850000E+02  -0.3516084E-08  -0.3850331E-10  -0.3516084E-08
  0.3950000E+02  -0.3418300E-08  -0.3429207E-10  -0.3418300E-08
  0.4050000E+02  -0.3325504E-08  -0.3124285E-10  -0.3325504E-08
  0.4150000E+02  -0.3237394E-08  -0.2908286E-10  -0.3237394E-08
  0.4250000E+02  -0.3153690E-08  -0.2762307E-10  -0.3153690E-08
  0.4350000E+02  -0.3074132E-08  -0.2673216E-10  -0.3074132E-08
  0.4450000E+02  -0.2998476E-08  -0.2631925E-10  -0.2998476E-08
  0.4550000E+02  -0.2926495E-08  -0.2632208E-10  -0.2926495E-08
  0.4650000E+02  -0.2857979E-08  -0.2669883E-10  -0.2857979E-08
  0.4750000E+02  -0.2792728E-08  -0.2742233E-10  -0.2792728E-08
  0.4850000E+02  -0.2730559E-08  -0.2847568E-10  -0.2730559E-08
  0.4950000E+02  -0.2671298E-08  -0.2984893E-10  -0.2671298E-08
  0.5050000E+02  -0.2614786E-08  -0.3153632E-10  -0.2614786E-08
  0.5150000E+02  -0.2560870E-08  -0.3353384E-10  -0.2560870E-08
  0.5250000E+02  -0.2509411E-08  -0.3581485E-10  -0.2509411E-08
  0.5350000E+02  -0.2460276E-08  -0.3516101E-10  -0.2460276E-08
  0.5450000E+02  -0.2413342E-08  -0.3453982E-10  -0.2413342E-08
  0.5550000E+02  -0.2368493E-08  -0.3394922E-10  -0.2368493E-08
  0.5650000E+02  -0.2325622E-08  -0.3338737E-10  -0.2325622E-08
  0.5750000E+02  -0.2284627E-08  -0.3285255E-10  -0.2284627E-08
  0.5850000E+02  -0.2245413E-08  -0.3234316E-10  -0.2245413E-08
  0.5950000E+02  -0.2207891E-08  -0.3185774E-10  -0.2207891E-08
  0.6050000E+02  -0.2171979E-08  -0.3139495E-10  -0.2171979E-08
  0.6150000E+02  -0.2137597E-08  -0.3095353E-10  -0.2137597E-08
  0.6250000E+02  -0.2104673E-08  -0.3053232E-10  -0.2104673E-08
  0.6350000E+02  -0.2073138E-08  -0.3013024E-10  -0.2073138E-08
  0.6450000E+02  -0.2042927E-08  -0.2974629E-10  -0.2042927E-08
  0.6550000E+02  -0.2013979E-08  -0.2937955E-10  -0.2013979E-08
  0.6650000E+02  -0.1986239E-08  -0.2902915E-10  -0.1986239E-08
