             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1715527E-04   0.5587801E-04   0.3259255E-04
  0.1500000E+01   0.2225661E-04   0.6915489E-04   0.4126247E-04
  0.2500000E+01   0.2870244E-04   0.8513471E-04   0.5191482E-04
  0.3500000E+01   0.3679186E-04   0.1042672E-03   0.6492302E-04
  0.4500000E+01   0.4687565E-04   0.1270573E-03   0.8071366E-04
  0.5500000E+01   0.5936201E-04   0.1540692E-03   0.9977095E-04
  0.6500000E+01   0.7472217E-04   0.1859287E-03   0.1226410E-03
  0.7500000E+01   0.9349592E-04   0.2233274E-03   0.1499358E-03
  0.8500000E+01   0.1162970E-03   0.2670241E-03   0.1823371E-03
  0.9500000E+01   0.1438181E-03   0.3178478E-03   0.2205996E-03
  0.1050000E+02   0.1768351E-03   0.3766988E-03   0.2655540E-03
  0.1150000E+02   0.2162115E-03   0.4445495E-03   0.3181090E-03
  0.1250000E+02   0.2629009E-03   0.5224448E-03   0.3792527E-03
  0.1350000E+02   0.3179501E-03   0.6115016E-03   0.4500539E-03
  0.1450000E+02   0.3824996E-03   0.7129070E-03   0.5316615E-03
  0.1550000E+02   0.4577844E-03   0.8279165E-03   0.6253036E-03
  0.1650000E+02   0.5451329E-03   0.9578506E-03   0.7322857E-03
  0.1750000E+02   0.6459647E-03   0.1104091E-02   0.8539874E-03
  0.1850000E+02   0.7617872E-03   0.1268075E-02   0.9918584E-03
  0.1950000E+02   0.8941908E-03   0.1451290E-02   0.1147414E-02
  0.2050000E+02   0.1044843E-02   0.1655267E-02   0.1322226E-02
  0.2150000E+02   0.1215480E-02   0.1881572E-02   0.1517922E-02
  0.2250000E+02   0.1407899E-02   0.2131800E-02   0.1736168E-02
  0.2350000E+02   0.1623949E-02   0.2407562E-02   0.1978668E-02
  0.2450000E+02   0.1865516E-02   0.2710477E-02   0.2247147E-02
  0.2550000E+02   0.2134515E-02   0.3042163E-02   0.2543344E-02
  0.2650000E+02   0.2432874E-02   0.3404222E-02   0.2869001E-02
  0.2750000E+02   0.2762522E-02   0.3798234E-02   0.3225848E-02
  0.2850000E+02   0.3125372E-02   0.4225740E-02   0.3615589E-02
  0.2950000E+02   0.3523308E-02   0.4688234E-02   0.4039896E-02
  0.3050000E+02   0.3958167E-02   0.5187148E-02   0.4500388E-02
  0.3150000E+02   0.4431726E-02   0.5723843E-02   0.4998623E-02
  0.3250000E+02   0.4945684E-02   0.6299594E-02   0.5536079E-02
  0.3350000E+02   0.5501648E-02   0.6915583E-02   0.6114150E-02
  0.3450000E+02   0.6101118E-02   0.7572883E-02   0.6734123E-02
  0.3550000E+02   0.6745470E-02   0.8272453E-02   0.7397174E-02
  0.3650000E+02   0.7435945E-02   0.9015121E-02   0.8104353E-02
  0.3750000E+02   0.8173635E-02   0.9801585E-02   0.8856570E-02
  0.3850000E+02   0.8959469E-02   0.1063239E-01   0.9654593E-02
  0.3950000E+02   0.9794208E-02   0.1150795E-01   0.1049903E-01
  0.4050000E+02   0.1067843E-01   0.1242849E-01   0.1139033E-01
  0.4150000E+02   0.1161252E-01   0.1339410E-01   0.1232877E-01
  0.4250000E+02   0.1259667E-01   0.1440469E-01   0.1331445E-01
  0.4350000E+02   0.1363086E-01   0.1546000E-01   0.1434729E-01
  0.4450000E+02   0.1471490E-01   0.1655961E-01   0.1542703E-01
  0.4550000E+02   0.1584835E-01   0.1770290E-01   0.1655321E-01
  0.4650000E+02   0.1703058E-01   0.1888912E-01   0.1772520E-01
  0.4750000E+02   0.1826075E-01   0.2011731E-01   0.1894218E-01
  0.4850000E+02   0.1953782E-01   0.2138637E-01   0.2020314E-01
  0.4950000E+02   0.2086055E-01   0.2269500E-01   0.2150690E-01
  0.5050000E+02   0.2222750E-01   0.2404179E-01   0.2285209E-01
  0.5150000E+02   0.2363704E-01   0.2542514E-01   0.2423719E-01
  0.5250000E+02   0.2508737E-01   0.2684330E-01   0.2566050E-01
  0.5350000E+02   0.2657649E-01   0.2829442E-01   0.2712017E-01
  0.5450000E+02   0.2810227E-01   0.2977646E-01   0.2861419E-01
  0.5550000E+02   0.2966241E-01   0.3128731E-01   0.3014042E-01
  0.5650000E+02   0.3125448E-01   0.3282473E-01   0.3169659E-01
  0.5750000E+02   0.3287592E-01   0.3438636E-01   0.3328033E-01
  0.5850000E+02   0.3452404E-01   0.3596976E-01   0.3488912E-01
  0.5950000E+02   0.3619606E-01   0.3757242E-01   0.3652038E-01
  0.6050000E+02   0.3788913E-01   0.3919174E-01   0.3817144E-01
  0.6150000E+02   0.3960030E-01   0.4082507E-01   0.3983955E-01
  0.6250000E+02   0.4132657E-01   0.4246973E-01   0.4152190E-01
  0.6350000E+02   0.4306488E-01   0.4412296E-01   0.4321564E-01
  0.6450000E+02   0.4481217E-01   0.4578202E-01   0.4491787E-01
  0.6550000E+02   0.4656533E-01   0.4744412E-01   0.4662570E-01
  0.6650000E+02   0.4832126E-01   0.4910651E-01   0.4833620E-01
  0.6750000E+02   0.5004645E-01   0.5076640E-01   0.5004645E-01
  0.6850000E+02   0.5175354E-01   0.5242106E-01   0.5175354E-01
  0.6950000E+02   0.5345459E-01   0.5406776E-01   0.5345459E-01
  0.7050000E+02   0.5514675E-01   0.5570381E-01   0.5514675E-01
  0.7150000E+02   0.5682722E-01   0.5732660E-01   0.5682722E-01
