             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.7692583E-06   0.2224442E-05   0.1195457E-05
  0.1500000E+01   0.9209301E-06   0.2559363E-05   0.1401408E-05
  0.2500000E+01   0.1100063E-05   0.2932368E-05   0.1639028E-05
  0.3500000E+01   0.1310803E-05   0.3347324E-05   0.1912466E-05
  0.4500000E+01   0.1557767E-05   0.3808499E-05   0.2226292E-05
  0.5500000E+01   0.1846065E-05   0.4320574E-05   0.2585521E-05
  0.6500000E+01   0.2181333E-05   0.4888666E-05   0.2995644E-05
  0.7500000E+01   0.2569754E-05   0.5518342E-05   0.3462643E-05
  0.8500000E+01   0.3018086E-05   0.6215634E-05   0.3993016E-05
  0.9500000E+01   0.3533684E-05   0.6987054E-05   0.4593796E-05
  0.1050000E+02   0.4124515E-05   0.7839601E-05   0.5272565E-05
  0.1150000E+02   0.4799179E-05   0.8780777E-05   0.6037472E-05
  0.1250000E+02   0.5566921E-05   0.9818586E-05   0.6897240E-05
  0.1350000E+02   0.6437637E-05   0.1096154E-04   0.7861173E-05
  0.1450000E+02   0.7421881E-05   0.1221866E-04   0.8939158E-05
  0.1550000E+02   0.8530865E-05   0.1359947E-04   0.1014166E-04
  0.1650000E+02   0.9776453E-05   0.1511398E-04   0.1147973E-04
  0.1750000E+02   0.1117115E-04   0.1677270E-04   0.1296497E-04
  0.1850000E+02   0.1272808E-04   0.1858657E-04   0.1460953E-04
  0.1950000E+02   0.1446096E-04   0.2056701E-04   0.1642607E-04
  0.2050000E+02   0.1638410E-04   0.2272583E-04   0.1842776E-04
  0.2150000E+02   0.1851232E-04   0.2507521E-04   0.2062822E-04
  0.2250000E+02   0.2086092E-04   0.2762770E-04   0.2304147E-04
  0.2350000E+02   0.2344566E-04   0.3039613E-04   0.2568192E-04
  0.2450000E+02   0.2628266E-04   0.3339359E-04   0.2856427E-04
  0.2550000E+02   0.2938833E-04   0.3663336E-04   0.3170350E-04
  0.2650000E+02   0.3277936E-04   0.4012889E-04   0.3511476E-04
  0.2750000E+02   0.3647255E-04   0.4389369E-04   0.3881333E-04
  0.2850000E+02   0.4048481E-04   0.4794130E-04   0.4281454E-04
  0.2950000E+02   0.4483299E-04   0.5228523E-04   0.4713369E-04
  0.3050000E+02   0.4953384E-04   0.5693884E-04   0.5178595E-04
  0.3150000E+02   0.5460390E-04   0.6191535E-04   0.5678631E-04
  0.3250000E+02   0.6005935E-04   0.6722770E-04   0.6214946E-04
  0.3350000E+02   0.6591596E-04   0.7288849E-04   0.6788970E-04
  0.3450000E+02   0.7218896E-04   0.7890992E-04   0.7402088E-04
  0.3550000E+02   0.7889289E-04   0.8530372E-04   0.8055628E-04
  0.3650000E+02   0.8604156E-04   0.9208105E-04   0.8750850E-04
  0.3750000E+02   0.9364787E-04   0.9925246E-04   0.9488941E-04
  0.3850000E+02   0.1017238E-03   0.1068278E-03   0.1027101E-03
  0.3950000E+02   0.1102800E-03   0.1148161E-03   0.1109805E-03
  0.4050000E+02   0.1193264E-03   0.1232256E-03   0.1197099E-03
  0.4150000E+02   0.1288711E-03   0.1320636E-03   0.1289062E-03
  0.4250000E+02   0.1385762E-03   0.1413366E-03   0.1385762E-03
  0.4350000E+02   0.1487255E-03   0.1510498E-03   0.1487255E-03
  0.4450000E+02   0.1593585E-03   0.1612077E-03   0.1593585E-03
  0.4550000E+02   0.1704779E-03   0.1721510E-03   0.1704779E-03
  0.4650000E+02   0.1820854E-03   0.1842620E-03   0.1820854E-03
  0.4750000E+02   0.1941809E-03   0.1968899E-03   0.1941809E-03
  0.4850000E+02   0.2063301E-03   0.2100320E-03   0.2067630E-03
  0.4950000E+02   0.2187345E-03   0.2236838E-03   0.2198286E-03
  0.5050000E+02   0.2315842E-03   0.2378390E-03   0.2333732E-03
  0.5150000E+02   0.2448752E-03   0.2524894E-03   0.2473908E-03
  0.5250000E+02   0.2586017E-03   0.2676252E-03   0.2618736E-03
  0.5350000E+02   0.2727569E-03   0.2832348E-03   0.2768123E-03
  0.5450000E+02   0.2873327E-03   0.2993048E-03   0.2921962E-03
  0.5550000E+02   0.3023194E-03   0.3158200E-03   0.3080129E-03
  0.5650000E+02   0.3177062E-03   0.3327637E-03   0.3242486E-03
  0.5750000E+02   0.3334812E-03   0.3501176E-03   0.3408880E-03
  0.5850000E+02   0.3496309E-03   0.3678618E-03   0.3579144E-03
  0.5950000E+02   0.3661408E-03   0.3859749E-03   0.3753096E-03
  0.6050000E+02   0.3829952E-03   0.4044342E-03   0.3930543E-03
  0.6150000E+02   0.4001771E-03   0.4232156E-03   0.4111278E-03
  0.6250000E+02   0.4176687E-03   0.4422941E-03   0.4295082E-03
  0.6350000E+02   0.4354509E-03   0.4616433E-03   0.4481727E-03
  0.6450000E+02   0.4535036E-03   0.4812358E-03   0.4670972E-03
  0.6550000E+02   0.4718059E-03   0.5010435E-03   0.4862570E-03
  0.6650000E+02   0.4903360E-03   0.5210375E-03   0.5056262E-03
  0.6750000E+02   0.5090713E-03   0.5411882E-03   0.5251785E-03
  0.6850000E+02   0.5279883E-03   0.5614653E-03   0.5448867E-03
  0.6950000E+02   0.5470631E-03   0.5818384E-03   0.5647230E-03
  0.7050000E+02   0.5662711E-03   0.6022766E-03   0.5846594E-03
  0.7150000E+02   0.5855871E-03   0.6227487E-03   0.6046672E-03
  0.7250000E+02   0.6049856E-03   0.6432236E-03   0.6247179E-03
  0.7350000E+02   0.6244406E-03   0.6636702E-03   0.6447823E-03
  0.7450000E+02   0.6439260E-03   0.6840574E-03   0.6648315E-03
  0.7550000E+02   0.6634154E-03   0.7043545E-03   0.6848365E-03
  0.7650000E+02   0.6828824E-03   0.7245311E-03   0.7047685E-03
  0.7750000E+02   0.7023003E-03   0.7445570E-03   0.7245987E-03
  0.7850000E+02   0.7216428E-03   0.7644030E-03   0.7442989E-03
  0.7950000E+02   0.7408836E-03   0.7840401E-03   0.7638411E-03
  0.8050000E+02   0.7599964E-03   0.8034402E-03   0.7831978E-03
  0.8150000E+02   0.7789556E-03   0.8225759E-03   0.8023420E-03
  0.8250000E+02   0.7977355E-03   0.8414206E-03   0.8212476E-03
  0.8350000E+02   0.8163112E-03   0.8599488E-03   0.8398888E-03
  0.8450000E+02   0.8346581E-03   0.8781358E-03   0.8582408E-03
  0.8550000E+02   0.8527522E-03   0.8959581E-03   0.8762795E-03
  0.8650000E+02   0.8705702E-03   0.9133929E-03   0.8939819E-03
