             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.3047142E-06   0.7986611E-06   0.5485245E-06
  0.1500000E+01   0.3681939E-06   0.9344386E-06   0.6525914E-06
  0.2500000E+01   0.4437087E-06   0.1094041E-05   0.7732242E-06
  0.3500000E+01   0.5331440E-06   0.1280211E-05   0.9125212E-06
  0.4500000E+01   0.6385995E-06   0.1495829E-05   0.1072769E-05
  0.5500000E+01   0.7623999E-06   0.1743891E-05   0.1256451E-05
  0.6500000E+01   0.9071059E-06   0.2027493E-05   0.1466253E-05
  0.7500000E+01   0.1075524E-05   0.2349811E-05   0.1705069E-05
  0.8500000E+01   0.1270713E-05   0.2714096E-05   0.1976009E-05
  0.9500000E+01   0.1495996E-05   0.3123666E-05   0.2282401E-05
  0.1050000E+02   0.1754961E-05   0.3581905E-05   0.2627795E-05
  0.1150000E+02   0.2051470E-05   0.4092263E-05   0.3015965E-05
  0.1250000E+02   0.2389660E-05   0.4658266E-05   0.3450910E-05
  0.1350000E+02   0.2773947E-05   0.5283521E-05   0.3936852E-05
  0.1450000E+02   0.3209026E-05   0.5971727E-05   0.4478234E-05
  0.1550000E+02   0.3699868E-05   0.6726680E-05   0.5079720E-05
  0.1650000E+02   0.4251721E-05   0.7552290E-05   0.5746184E-05
  0.1750000E+02   0.4870102E-05   0.8452582E-05   0.6482705E-05
  0.1850000E+02   0.5560791E-05   0.9431709E-05   0.7294562E-05
  0.1950000E+02   0.6329824E-05   0.1049395E-04   0.8187217E-05
  0.2050000E+02   0.7183484E-05   0.1164372E-04   0.9166308E-05
  0.2150000E+02   0.8128283E-05   0.1288554E-04   0.1023763E-04
  0.2250000E+02   0.9170951E-05   0.1422410E-04   0.1140713E-04
  0.2350000E+02   0.1031842E-04   0.1566416E-04   0.1268088E-04
  0.2450000E+02   0.1157779E-04   0.1721062E-04   0.1406504E-04
  0.2550000E+02   0.1295634E-04   0.1886843E-04   0.1556589E-04
  0.2650000E+02   0.1446145E-04   0.2064266E-04   0.1718974E-04
  0.2750000E+02   0.1610064E-04   0.2253841E-04   0.1894298E-04
  0.2850000E+02   0.1788149E-04   0.2456081E-04   0.2083197E-04
  0.2950000E+02   0.1981161E-04   0.2671499E-04   0.2286310E-04
  0.3050000E+02   0.2189863E-04   0.2900609E-04   0.2504269E-04
  0.3150000E+02   0.2415015E-04   0.3143918E-04   0.2737700E-04
  0.3250000E+02   0.2657372E-04   0.3401926E-04   0.2987220E-04
  0.3350000E+02   0.2917675E-04   0.3675123E-04   0.3253433E-04
  0.3450000E+02   0.3196653E-04   0.3963986E-04   0.3536926E-04
  0.3550000E+02   0.3495014E-04   0.4268975E-04   0.3838268E-04
  0.3650000E+02   0.3813443E-04   0.4590531E-04   0.4158006E-04
  0.3750000E+02   0.4152598E-04   0.4929073E-04   0.4496660E-04
  0.3850000E+02   0.4513102E-04   0.5284994E-04   0.4854723E-04
  0.3950000E+02   0.4895542E-04   0.5658662E-04   0.5232656E-04
  0.4050000E+02   0.5300465E-04   0.6050414E-04   0.5630886E-04
  0.4150000E+02   0.5728369E-04   0.6460552E-04   0.6049800E-04
  0.4250000E+02   0.6179704E-04   0.6889348E-04   0.6489749E-04
  0.4350000E+02   0.6654865E-04   0.7337034E-04   0.6951036E-04
  0.4450000E+02   0.7154188E-04   0.7803804E-04   0.7433921E-04
  0.4550000E+02   0.7677947E-04   0.8289815E-04   0.7938616E-04
  0.4650000E+02   0.8226354E-04   0.8795178E-04   0.8465281E-04
  0.4750000E+02   0.8799547E-04   0.9319967E-04   0.9014025E-04
  0.4850000E+02   0.9397597E-04   0.9864208E-04   0.9584901E-04
  0.4950000E+02   0.1002050E-03   0.1042789E-03   0.1017791E-03
  0.5050000E+02   0.1066818E-03   0.1101094E-03   0.1079298E-03
  0.5150000E+02   0.1134047E-03   0.1161326E-03   0.1143001E-03
  0.5250000E+02   0.1203714E-03   0.1223471E-03   0.1208881E-03
  0.5350000E+02   0.1275788E-03   0.1287507E-03   0.1276915E-03
  0.5450000E+02   0.1347072E-03   0.1353412E-03   0.1347072E-03
  0.5550000E+02   0.1419316E-03   0.1426991E-03   0.1419316E-03
  0.5650000E+02   0.1490708E-03   0.1506017E-03   0.1493605E-03
  0.5750000E+02   0.1562028E-03   0.1587244E-03   0.1569891E-03
  0.5850000E+02   0.1635076E-03   0.1670603E-03   0.1648120E-03
  0.5950000E+02   0.1709806E-03   0.1756014E-03   0.1728232E-03
  0.6050000E+02   0.1786167E-03   0.1843393E-03   0.1810160E-03
  0.6150000E+02   0.1864106E-03   0.1932647E-03   0.1893833E-03
  0.6250000E+02   0.1943564E-03   0.2023678E-03   0.1979173E-03
  0.6350000E+02   0.2024479E-03   0.2116380E-03   0.2066099E-03
  0.6450000E+02   0.2106786E-03   0.2210641E-03   0.2154523E-03
  0.6550000E+02   0.2190414E-03   0.2306345E-03   0.2244353E-03
  0.6650000E+02   0.2275292E-03   0.2403371E-03   0.2335490E-03
  0.6750000E+02   0.2361342E-03   0.2501590E-03   0.2427835E-03
  0.6850000E+02   0.2448486E-03   0.2600873E-03   0.2521281E-03
  0.6950000E+02   0.2536640E-03   0.2701084E-03   0.2615720E-03
  0.7050000E+02   0.2625718E-03   0.2802086E-03   0.2711039E-03
  0.7150000E+02   0.2715633E-03   0.2903737E-03   0.2807122E-03
  0.7250000E+02   0.2806293E-03   0.3005895E-03   0.2903850E-03
