             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.1696930E-05   0.3628089E-05   0.1696930E-05
  0.1500000E+01   0.1941842E-05   0.4199737E-05   0.1941842E-05
  0.2500000E+01   0.2197961E-05   0.4808483E-05   0.2197961E-05
  0.3500000E+01   0.2456542E-05   0.5444839E-05   0.2456542E-05
  0.4500000E+01   0.2704694E-05   0.6094927E-05   0.2704694E-05
  0.5500000E+01   0.2924319E-05   0.6739399E-05   0.2924319E-05
  0.6500000E+01   0.3090987E-05   0.7352288E-05   0.3090987E-05
  0.7500000E+01   0.3172876E-05   0.7899932E-05   0.3172876E-05
  0.8500000E+01   0.3130002E-05   0.8340181E-05   0.3130002E-05
  0.9500000E+01   0.2914098E-05   0.8622253E-05   0.2914098E-05
  0.1050000E+02   0.2469670E-05   0.8687771E-05   0.2469670E-05
  0.1150000E+02   0.1736918E-05   0.8473666E-05   0.1736918E-05
  0.1250000E+02   0.6573484E-06   0.7917766E-05   0.6573484E-06
  0.1350000E+02  -0.8172195E-06   0.6967783E-05  -0.8172195E-06
  0.1450000E+02  -0.2711923E-05   0.5594013E-05  -0.2711923E-05
  0.1550000E+02  -0.5013060E-05   0.3805115E-05  -0.5013060E-05
  0.1650000E+02  -0.7651315E-05   0.1664842E-05  -0.7651315E-05
  0.1750000E+02  -0.1048780E-04  -0.6940137E-06  -0.1048780E-04
  0.1850000E+02  -0.1330778E-04  -0.3063367E-05  -0.1330778E-04
  0.1950000E+02  -0.1582648E-04  -0.5165631E-05  -0.1582648E-04
  0.2050000E+02  -0.1770862E-04  -0.6673240E-05  -0.1770862E-04
  0.2150000E+02  -0.1859906E-04  -0.7239198E-05  -0.1859906E-04
  0.2250000E+02  -0.1815757E-04  -0.6531801E-05  -0.1815757E-04
  0.2350000E+02  -0.1608936E-04  -0.4265000E-05  -0.1608936E-04
  0.2450000E+02  -0.1216433E-04  -0.2176295E-06  -0.1216433E-04
  0.2550000E+02  -0.6222700E-05   0.5761089E-05  -0.6222700E-05
  0.2650000E+02   0.1831336E-05   0.1375799E-04   0.1831336E-05
  0.2750000E+02   0.1204354E-04   0.2465347E-04   0.1204354E-04
  0.2850000E+02   0.2442612E-04   0.3864300E-04   0.2442612E-04
  0.2950000E+02   0.3897312E-04   0.5492326E-04   0.3897312E-04
  0.3050000E+02   0.5567264E-04   0.7348385E-04   0.5567264E-04
  0.3150000E+02   0.7451520E-04   0.9431599E-04   0.7451520E-04
  0.3250000E+02   0.9549873E-04   0.1174174E-03   0.9549873E-04
  0.3350000E+02   0.1186308E-03   0.1427947E-03   0.1186308E-03
  0.3450000E+02   0.1439288E-03   0.1704632E-03   0.1439288E-03
  0.3550000E+02   0.1714195E-03   0.2004467E-03   0.1714195E-03
