             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.2758696E-05   0.7025520E-05   0.4544052E-05
  0.1500000E+01   0.3351033E-05   0.8336717E-05   0.5430721E-05
  0.2500000E+01   0.4053759E-05   0.9846877E-05   0.6464154E-05
  0.3500000E+01   0.4883982E-05   0.1157885E-04   0.7663982E-05
  0.4500000E+01   0.5860841E-05   0.1355718E-04   0.9051748E-05
  0.5500000E+01   0.7005645E-05   0.1580808E-04   0.1065100E-04
  0.6500000E+01   0.8342023E-05   0.1835953E-04   0.1248740E-04
  0.7500000E+01   0.9896053E-05   0.2124123E-04   0.1458876E-04
  0.8500000E+01   0.1169640E-04   0.2448465E-04   0.1698515E-04
  0.9500000E+01   0.1377443E-04   0.2812298E-04   0.1970897E-04
  0.1050000E+02   0.1616433E-04   0.3219115E-04   0.2279497E-04
  0.1150000E+02   0.1890320E-04   0.3672583E-04   0.2628031E-04
  0.1250000E+02   0.2203114E-04   0.4176534E-04   0.3020455E-04
  0.1350000E+02   0.2559129E-04   0.4734968E-04   0.3460972E-04
  0.1450000E+02   0.2962993E-04   0.5352043E-04   0.3954027E-04
  0.1550000E+02   0.3419643E-04   0.6032070E-04   0.4504305E-04
  0.1650000E+02   0.3934330E-04   0.6779508E-04   0.5116727E-04
  0.1750000E+02   0.4512616E-04   0.7598955E-04   0.5796446E-04
  0.1850000E+02   0.5160364E-04   0.8495139E-04   0.6548836E-04
  0.1950000E+02   0.5883737E-04   0.9472907E-04   0.7379482E-04
  0.2050000E+02   0.6689177E-04   0.1053721E-03   0.8294170E-04
  0.2150000E+02   0.7583401E-04   0.1169311E-03   0.9298873E-04
  0.2250000E+02   0.8573375E-04   0.1294574E-03   0.1039973E-03
  0.2350000E+02   0.9666297E-04   0.1430030E-03   0.1160303E-03
  0.2450000E+02   0.1086957E-03   0.1576205E-03   0.1291520E-03
  0.2550000E+02   0.1219079E-03   0.1733628E-03   0.1434276E-03
  0.2650000E+02   0.1363768E-03   0.1902831E-03   0.1589234E-03
  0.2750000E+02   0.1521810E-03   0.2084347E-03   0.1757059E-03
  0.2850000E+02   0.1693998E-03   0.2278704E-03   0.1938423E-03
  0.2950000E+02   0.1881131E-03   0.2486430E-03   0.2133995E-03
  0.3050000E+02   0.2084006E-03   0.2708046E-03   0.2344442E-03
