             #w        R(w)_min        R(w)_max        R(w)_avg
  0.5000000E+00   0.7027305E-05   0.1759491E-04   0.1759491E-04
  0.1500000E+01   0.9851652E-05   0.2200595E-04   0.2200595E-04
  0.2500000E+01   0.1355250E-04   0.2725676E-04   0.2725676E-04
  0.3500000E+01   0.1831469E-04   0.3345153E-04   0.3345153E-04
  0.4500000E+01   0.2433900E-04   0.4069860E-04   0.4069860E-04
  0.5500000E+01   0.3183887E-04   0.4910966E-04   0.4910966E-04
  0.6500000E+01   0.4103640E-04   0.5879897E-04   0.5879897E-04
  0.7500000E+01   0.5215785E-04   0.6988252E-04   0.6988252E-04
  0.8500000E+01   0.6542900E-04   0.8247725E-04   0.8247725E-04
  0.9500000E+01   0.7919754E-04   0.9670030E-04   0.9670030E-04
  0.1050000E+02   0.9151719E-04   0.1126683E-03   0.1126683E-03
  0.1150000E+02   0.1052928E-03   0.1304969E-03   0.1304969E-03
  0.1250000E+02   0.1206406E-03   0.1502999E-03   0.1502999E-03
  0.1350000E+02   0.1376807E-03   0.1721889E-03   0.1721889E-03
  0.1450000E+02   0.1565368E-03   0.2016418E-03   0.1962733E-03
  0.1550000E+02   0.1773362E-03   0.2353270E-03   0.2226593E-03
  0.1650000E+02   0.2002088E-03   0.2724623E-03   0.2514500E-03
  0.1750000E+02   0.2252873E-03   0.3131105E-03   0.2827454E-03
  0.1850000E+02   0.2527066E-03   0.3573105E-03   0.3166418E-03
  0.1950000E+02   0.2826033E-03   0.4050789E-03   0.3532321E-03
  0.2050000E+02   0.3151152E-03   0.4564118E-03   0.3926058E-03
  0.2150000E+02   0.3503810E-03   0.5112866E-03   0.4348486E-03
  0.2250000E+02   0.3885399E-03   0.5696650E-03   0.4800431E-03
  0.2350000E+02   0.4297307E-03   0.6314947E-03   0.5282680E-03
  0.2450000E+02   0.4740916E-03   0.6967129E-03   0.5795991E-03
  0.2550000E+02   0.5217597E-03   0.7652478E-03   0.6341087E-03
  0.2650000E+02   0.5728705E-03   0.8370220E-03   0.6918660E-03
  0.2750000E+02   0.6275570E-03   0.9119540E-03   0.7529372E-03
  0.2850000E+02   0.6859496E-03   0.9899608E-03   0.8173852E-03
  0.2950000E+02   0.7481754E-03   0.1070960E-02   0.8852703E-03
  0.3050000E+02   0.8143578E-03   0.1154869E-02   0.9566496E-03
  0.3150000E+02   0.8846155E-03   0.1241611E-02   0.1031578E-02
  0.3250000E+02   0.9590628E-03   0.1331113E-02   0.1110106E-02
  0.3350000E+02   0.1037808E-02   0.1423305E-02   0.1192282E-02
  0.3450000E+02   0.1120955E-02   0.1518125E-02   0.1278153E-02
  0.3550000E+02   0.1208599E-02   0.1615517E-02   0.1367760E-02
  0.3650000E+02   0.1300831E-02   0.1715431E-02   0.1461144E-02
  0.3750000E+02   0.1397731E-02   0.1817826E-02   0.1558341E-02
  0.3850000E+02   0.1499376E-02   0.1922664E-02   0.1659383E-02
  0.3950000E+02   0.1605831E-02   0.2029918E-02   0.1764300E-02
  0.4050000E+02   0.1717154E-02   0.2139564E-02   0.1873119E-02
  0.4150000E+02   0.1833394E-02   0.2251586E-02   0.1985860E-02
  0.4250000E+02   0.1954589E-02   0.2365974E-02   0.2102544E-02
  0.4350000E+02   0.2080769E-02   0.2482721E-02   0.2223182E-02
  0.4450000E+02   0.2211954E-02   0.2601828E-02   0.2347786E-02
  0.4550000E+02   0.2348152E-02   0.2723297E-02   0.2476359E-02
  0.4650000E+02   0.2489362E-02   0.2847136E-02   0.2608901E-02
  0.4750000E+02   0.2635571E-02   0.2973355E-02   0.2745409E-02
  0.4850000E+02   0.2786755E-02   0.3101967E-02   0.2885870E-02
  0.4950000E+02   0.2942878E-02   0.3232986E-02   0.3030269E-02
  0.5050000E+02   0.3103895E-02   0.3366429E-02   0.3178585E-02
  0.5150000E+02   0.3269746E-02   0.3502310E-02   0.3330788E-02
  0.5250000E+02   0.3440362E-02   0.3640647E-02   0.3486846E-02
  0.5350000E+02   0.3615662E-02   0.3781457E-02   0.3646716E-02
  0.5450000E+02   0.3795551E-02   0.3924753E-02   0.3810353E-02
  0.5550000E+02   0.3977701E-02   0.4070549E-02   0.3977701E-02
  0.5650000E+02   0.4148698E-02   0.4218856E-02   0.4148698E-02
  0.5750000E+02   0.4323278E-02   0.4369683E-02   0.4323278E-02
  0.5850000E+02   0.4501363E-02   0.4558729E-02   0.4501363E-02
  0.5950000E+02   0.4678915E-02   0.4759760E-02   0.4682870E-02
  0.6050000E+02   0.4837320E-02   0.4964579E-02   0.4867708E-02
  0.6150000E+02   0.4998244E-02   0.5173015E-02   0.5055779E-02
  0.6250000E+02   0.5161675E-02   0.5384884E-02   0.5246977E-02
  0.6350000E+02   0.5327597E-02   0.5599994E-02   0.5441187E-02
  0.6450000E+02   0.5495988E-02   0.5818144E-02   0.5638288E-02
  0.6550000E+02   0.5666820E-02   0.6039123E-02   0.5838150E-02
  0.6650000E+02   0.5840058E-02   0.6262711E-02   0.6040637E-02
  0.6750000E+02   0.6015664E-02   0.6488680E-02   0.6245605E-02
  0.6850000E+02   0.6193588E-02   0.6716796E-02   0.6452900E-02
  0.6950000E+02   0.6373778E-02   0.6946815E-02   0.6662366E-02
  0.7050000E+02   0.6556172E-02   0.7178490E-02   0.6873835E-02
  0.7150000E+02   0.6740702E-02   0.7411565E-02   0.7087134E-02
  0.7250000E+02   0.6927293E-02   0.7645782E-02   0.7302084E-02
  0.7350000E+02   0.7115860E-02   0.7880875E-02   0.7518500E-02
  0.7450000E+02   0.7306314E-02   0.8116576E-02   0.7736189E-02
